ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,recent_5d_growth
300352,20240126,20260314,20260206,6.29,7.1,12.88,20,6.37,11.46,10.02,14.94,12.88,0.0,10.35,13,6,2.17,37.84,24.04,61.88,-6.33
300037,20240126,20260314,20260206,50.17,59.4,18.4,20,53.68,10.66,11.92,13.83,18.4,0.0,12.05,11,8,1.38,26.32,8.82,35.15,6.55
601882,20240126,20260314,20260205,20.22,21.85,8.06,21,19.43,12.45,2.97,9.1,8.06,0.0,5.74,12,7,1.71,19.84,11.64,31.47,1.02
603826,20240126,20260314,20260205,19.46,24.78,27.34,21,17.19,44.15,0.72,5.76,30.99,0.0,11.17,14,6,2.33,43.7,17.92,61.62,5.76
300254,20240126,20260314,20260205,11.28,11.98,6.21,21,10.33,15.97,1.42,7.98,6.03,0.0,4.49,10,10,1.0,26.54,19.79,46.33,-1.56
300320,20240126,20260314,20260204,10.35,11.08,7.05,22,9.42,17.62,4.06,8.41,11.11,0.0,6.67,12,8,1.5,18.97,11.83,30.8,0.45
000822,20240126,20260314,20260204,5.73,6.78,18.32,22,5.25,29.14,12.57,17.8,18.67,0.0,13.46,13,8,1.62,45.38,26.73,72.11,0.0
603393,20240126,20260314,20260204,29.51,42.14,42.8,22,27.12,55.38,-2.41,7.22,35.72,0.0,12.4,12,8,1.5,53.32,15.73,69.04,7.91
601225,20240126,20260314,20260204,22.68,26.24,15.7,22,21.62,21.37,1.68,2.6,12.08,0.0,4.74,12,9,1.33,26.08,10.99,37.07,3.23
600233,20240126,20260314,20260204,17.7,20.7,16.95,22,16.5,25.45,1.24,-0.23,12.43,0.0,3.91,11,9,1.22,25.89,9.67,35.57,8.32
601101,20240126,20260314,20260204,8.11,9.04,11.47,22,7.21,25.38,-4.69,-1.11,6.04,0.0,0.54,12,7,1.71,26.42,14.94,41.36,4.51
601088,20240126,20260314,20260204,42.42,48.92,15.32,22,40.26,21.51,0.14,-0.57,12.75,0.0,3.68,11,10,1.1,26.54,11.7,38.24,2.02
601666,20240126,20260314,20260204,8.65,9.09,5.09,22,7.96,14.2,1.04,2.89,2.43,0.0,1.8,12,9,1.33,20.96,15.53,36.48,2.25
600057,20240126,20260314,20260204,8.0,8.73,9.13,22,8.39,4.05,3.88,3.88,2.63,0.0,2.73,14,6,2.33,20.03,10.85,30.87,7.78
002485,20240126,20260314,20260204,4.24,5.13,20.99,22,4.23,21.28,13.44,14.39,29.01,0.0,15.71,12,8,1.5,45.35,24.75,70.1,-1.35
002875,20240126,20260314,20260204,17.27,19.21,11.23,22,17.6,9.15,2.66,11.0,14.24,0.0,8.1,12,8,1.5,24.65,13.17,37.82,0.47
603968,20240126,20260314,20260204,12.19,14.58,19.61,22,11.22,29.95,16.9,37.82,15.34,0.0,19.33,12,9,1.33,48.04,28.03,76.07,2.39
600727,20240126,20260314,20260204,7.46,8.27,10.86,22,6.89,20.03,3.49,7.51,9.38,0.0,5.76,12,9,1.33,25.24,14.41,39.65,2.22
600985,20240126,20260314,20260204,13.17,14.19,7.74,22,11.19,26.81,-1.9,1.67,4.94,0.0,1.6,9,12,0.75,22.71,14.7,37.41,2.09
600860,20240126,20260314,20260204,13.46,15.16,12.63,22,12.41,22.16,1.41,4.46,14.78,0.0,6.05,9,12,0.75,34.53,21.41,55.94,-2.0
600971,20240126,20260314,20260204,7.21,7.95,10.26,22,6.24,27.4,-3.88,-1.25,5.13,0.0,0.39,14,7,2.0,22.58,12.29,34.88,3.92
300011,20240126,20260314,20260203,8.38,9.04,7.88,23,8.95,1.01,8.95,9.07,16.35,0.0,9.42,11,11,1.0,28.47,20.01,48.48,-1.95
002360,20240126,20260314,20260203,5.22,6.69,28.16,23,4.79,39.67,3.07,8.81,13.41,0.0,7.28,15,6,2.5,35.83,10.24,46.07,15.54
000895,20240126,20260314,20260203,25.9,27.93,7.84,23,26.57,5.12,2.78,1.85,5.25,0.0,2.69,13,9,1.44,11.24,3.6,14.84,2.23
600216,20240126,20260314,20260203,14.72,17.76,20.65,23,13.96,27.22,5.43,6.86,13.79,0.0,7.28,11,11,1.0,37.92,17.95,55.86,0.68
600731,20240126,20260314,20260203,7.38,7.86,6.5,23,6.84,14.91,0.95,3.66,4.47,0.0,2.63,14,7,2.0,18.26,11.59,29.85,1.29
300107,20240126,20260314,20260203,7.54,8.22,9.02,23,6.91,18.96,3.58,17.51,12.6,0.0,9.75,11,11,1.0,41.52,31.07,72.59,-3.52
601898,20240126,20260314,20260203,12.8,18.82,47.03,23,12.5,50.56,9.84,17.11,31.25,0.0,16.48,13,9,1.44,61.15,20.28,81.44,3.41
002273,20240126,20260314,20260203,25.29,27.62,9.21,23,25.5,8.31,6.84,10.87,4.55,0.0,5.99,10,12,0.83,34.6,24.35,58.94,7.05
603088,20240126,20260314,20260203,11.3,12.72,12.57,23,10.38,22.54,2.92,15.22,17.88,0.0,10.51,12,10,1.2,31.16,18.06,49.22,3.16
600289,20240126,20260314,20260203,6.65,7.97,19.85,23,6.68,19.31,1.2,4.96,21.8,0.0,8.27,10,10,1.0,30.95,12.15,43.1,2.71
002177,20240126,20260314,20260203,7.82,9.07,15.98,23,8.62,5.22,5.63,8.06,7.54,0.0,5.81,12,10,1.2,45.72,28.8,74.52,8.62
002034,20240126,20260314,20260203,17.11,18.87,10.29,23,16.18,16.63,0.64,0.29,4.68,0.0,1.62,15,7,2.14,17.54,7.54,25.08,6.01
300415,20240126,20260314,20260203,25.79,27.13,5.2,23,26.17,3.67,0.35,1.98,5.7,0.0,2.37,13,9,1.44,15.13,9.83,24.96,2.34
603688,20240126,20260314,20260203,40.74,48.41,18.83,23,37.35,29.61,4.15,19.56,33.41,0.0,16.72,11,11,1.0,56.45,36.32,92.77,-5.12
601001,20240126,20260314,20260203,14.42,18.15,25.87,23,13.42,35.25,7.7,14.29,18.45,0.0,11.36,14,8,1.75,34.4,10.31,44.7,3.01
600149,20240126,20260314,20260203,5.92,6.27,5.91,23,5.01,25.15,2.03,4.73,14.02,0.0,6.03,11,8,1.38,29.85,22.95,52.81,-9.13
300575,20240126,20260314,20260203,6.55,6.95,6.11,23,5.9,17.8,2.14,6.41,5.04,0.0,3.86,13,9,1.44,24.37,17.78,42.15,0.43
603628,20240126,20260314,20260203,14.13,15.08,6.72,23,13.34,13.04,4.67,1.91,4.1,0.0,2.74,13,9,1.44,20.57,13.69,34.26,3.08
002126,20240126,20260314,20260203,39.28,45.97,17.03,23,37.82,21.55,17.13,19.37,35.95,0.0,20.02,12,10,1.2,48.52,30.72,79.24,-11.65
300317,20240126,20260314,20260203,4.21,5.31,26.13,23,3.89,36.5,8.55,4.51,34.92,0.0,13.54,10,11,0.91,56.4,29.93,86.33,-10.0
300345,20240126,20260314,20260203,7.07,7.72,9.19,23,6.26,23.32,13.01,9.34,8.91,0.0,8.08,12,10,1.2,43.02,32.64,75.65,2.52
600080,20240126,20260314,20260203,7.93,8.6,8.45,23,7.59,13.31,0.76,7.06,10.84,0.0,5.52,12,9,1.33,28.87,19.96,48.83,-2.6
300243,20240126,20260314,20260203,11.12,15.2,36.69,23,10.42,45.87,4.23,6.74,9.35,0.0,5.67,14,7,2.0,45.14,12.05,57.19,27.3
300335,20240126,20260314,20260203,6.08,7.88,29.61,23,5.89,33.79,2.3,3.95,17.43,0.0,6.87,15,7,2.14,36.03,9.2,45.23,9.44
002382,20240126,20260314,20260203,5.86,7.59,29.52,23,5.74,32.23,2.73,0.51,13.14,0.0,4.64,14,8,1.75,34.15,7.45,41.59,13.79
300304,20240126,20260314,20260203,12.74,14.01,9.97,23,11.72,19.54,6.44,8.48,16.88,0.0,8.9,12,10,1.2,27.6,17.5,45.1,-4.76
000967,20240126,20260314,20260203,7.04,9.0,27.84,23,7.32,22.95,1.99,7.95,25.0,0.0,10.28,14,7,2.0,37.46,12.0,49.46,5.26
600132,20240126,20260314,20260202,53.88,58.43,8.44,24,52.39,11.53,3.21,0.45,5.61,0.0,2.46,13,10,1.3,15.0,6.72,21.72,2.69
300264,20240126,20260314,20260202,6.52,10.21,56.6,24,7.52,35.77,23.93,42.64,56.6,0.0,34.56,14,7,2.0,63.6,15.87,79.47,0.0
002880,20240126,20260314,20260202,27.44,30.45,10.97,24,26.11,16.62,6.3,12.43,6.92,0.0,7.06,13,9,1.44,32.18,20.65,52.84,3.78
300311,20240126,20260314,20260202,4.98,5.55,11.45,24,4.55,21.98,4.42,11.65,13.05,0.0,8.29,13,8,1.62,25.88,14.51,40.38,-1.42
002355,20240126,20260314,20260202,6.18,7.4,19.74,24,6.09,21.51,16.99,20.87,19.09,0.0,15.39,11,10,1.1,46.56,26.12,72.68,0.54
002723,20240126,20260314,20260202,8.92,9.95,11.55,24,8.56,16.24,0.34,5.83,12.33,0.0,5.52,13,10,1.3,49.14,35.4,84.54,-0.7
603042,20240126,20260314,20260130,17.03,20.31,19.26,25,17.92,13.34,9.69,12.74,15.44,0.0,10.39,12,11,1.09,44.29,25.06,69.35,7.23
600202,20240126,20260314,20260130,6.14,6.46,5.21,25,5.81,11.19,1.63,2.61,5.54,0.0,2.77,11,12,0.92,18.39,13.01,31.41,0.47
000821,20240126,20260314,20260130,12.91,13.79,6.82,25,13.36,3.22,18.67,16.03,8.68,0.0,11.15,13,11,1.18,41.64,33.55,75.19,1.77
