ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,ret_from_break_pct,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,nh_break_events,nh_lookback_n,recent_5d_growth
03119,20240126,20260412,20250502,59.9,120.6,101.34,101.34,232,98.16,22.86,1.24,4.61,4.04,7.71,4.38,139,91,1.53,216.72,141.06,357.78,55,60,9.29
03145,20240126,20260412,20250430,10.97,14.71,34.08,34.08,233,13.61,8.07,3.33,6.64,9.45,12.6,8.01,125,84,1.49,93.78,63.49,157.27,49,60,-0.47
00857,20240126,20260418,20250430,5.43,10.69,97.01,97.01,238,8.52,25.47,1.11,5.9,12.9,24.51,10.76,131,96,1.36,180.82,109.92,290.74,36,60,-2.55
03122,20240126,20260412,20250429,178.3,193.5,8.52,8.52,234,187.55,3.17,0.56,1.4,2.19,2.33,1.66,70,22,3.18,11.97,3.77,15.74,48,60,1.02
00257,20240126,20260418,20250428,3.41,5.39,58.06,58.06,240,4.84,11.36,-0.29,-0.29,4.99,6.45,2.64,120,98,1.22,173.19,124.04,297.24,48,60,-1.64
02356,20230625,20260418,20250425,7.38,12.64,71.27,71.27,241,10.83,16.71,5.28,6.91,8.54,9.35,7.56,128,106,1.21,177.64,120.43,298.07,23,60,-0.39
00083,20240126,20260418,20250425,7.24,11.76,62.43,62.43,241,10.25,14.73,1.66,5.11,2.76,4.56,3.6,139,97,1.43,152.13,101.25,253.37,55,60,1.12
00071,20240126,20260418,20250424,8.57,10.7,24.85,24.85,242,10.31,3.78,-0.35,8.63,6.42,9.92,6.43,116,107,1.08,92.25,68.94,161.19,17,60,-1.65
01866,20240126,20260418,20250423,3.88,11.88,205.79,205.79,243,9.16,29.69,0.0,7.98,6.18,13.13,6.87,132,104,1.27,314.77,193.12,507.89,39,60,7.61
00751,20240126,20260418,20250422,2.92,6.32,116.44,116.44,232,5.18,22.01,1.03,2.74,4.11,5.14,3.29,98,109,0.9,260.4,165.51,425.91,8,60,0.48
