breakthrough_date,breakthrough_price,breakthrough_ratio,final_gain,ma120,success,ts_code,volume_ratio
20241008,7.0,2.75,-8.71,6.81,False,sh603903,3.2281
20240926,3.38,2.0935,8.87,3.31,False,sh600308,2.1943
20251015,38.43,1.7099,0.29,37.78,False,sh688180,0.5873
20240830,1.4,1.8842,-2.29,1.37,False,sh900934,1.9774
20240731,31.44,2.3359,-3.78,30.72,False,sh603383,2.0424
20251201,54.83,4.309,-2.19,52.56,False,sh688049,1.7328
20250924,14.15,1.3544,5.72,13.96,False,sh688560,0.5545
20240731,13.48,1.7232,-2.97,13.26,False,sh600621,3.1559
20250707,15.75,0.0932,-1.21,15.74,False,sh600989,0.4209
20250902,9.03,1.2069,-2.32,8.93,False,sh601939,1.7823
20250729,15.72,2.3849,-2.1,15.35,False,sh688007,2.5889
20241025,2.85,4.2969,10.18,2.73,False,sh603879,2.8967
20240905,1.64,1.4745,0.0,1.61,False,sh600715,1.491
20240904,10.09,4.3467,-2.68,9.67,False,sh600272,2.3845
20260306,16.02,4.1015,-0.81,15.39,False,sh603182,1.4418
20250624,22.31,2.5688,6.01,21.75,False,sh688133,0.9822
20240927,7.61,2.8112,2.1,7.4,False,sh601369,1.8592
20250924,19.25,1.2391,-0.57,19.01,False,sh688479,1.1393
20250114,9.66,1.6767,-0.62,9.5,False,sh600958,1.1114
20240930,6.11,6.2008,-3.44,5.75,False,sh600125,4.0434
20240927,8.14,3.3225,-0.88,7.88,False,sh603067,0.8646
20250929,24.9,1.7583,-1.77,24.47,False,sh688150,1.1234
20250725,75.0,0.4034,-3.87,74.7,False,sh688099,1.3252
20240927,19.77,0.248,-2.93,19.72,False,sh603505,1.8347
20240731,2.9,0.763,-2.41,2.88,False,sh601016,1.412
20250708,11.26,1.0938,0.18,11.14,False,sh688432,1.5832
20240926,5.9,0.7288,10.34,5.86,False,sh603318,2.2403
20240924,13.66,0.3471,13.84,13.61,False,sh601058,1.4818
20251218,17.25,2.3405,2.14,16.86,False,sh688681,1.1897
20240927,5.33,1.9027,6.01,5.23,False,sh600409,1.3969
20250710,8.64,0.7561,-1.39,8.58,False,sh603357,1.8976
20251128,25.63,1.2167,-2.3,25.32,False,sh688178,0.6813
20240830,5.12,2.3503,-7.23,5.0,False,sh601668,1.7973
20240930,11.05,4.7973,-5.61,10.54,False,sh600970,3.7419
20240808,10.5,0.1916,-3.43,10.48,False,sh600697,3.9204
20240731,7.66,1.9247,-2.09,7.52,False,sh600710,1.1676
20250624,24.74,0.4062,1.41,24.64,False,sh688598,2.322
20240815,6.79,0.3905,-2.36,6.77,False,sh600143,0.9534
20260107,65.49,4.0783,10.02,62.92,False,sh688202,2.3108
20260323,31.11,0.598,2.89,30.93,False,sh603529,8.6142
20250711,35.0,0.2289,5.17,34.92,False,sh688651,1.8716
20240926,4.33,10.1125,2.08,3.93,False,sh600510,6.5988
20240919,8.26,4.2271,5.08,7.93,False,sh600343,3.3564
20240730,6.0,6.9106,-3.17,5.61,False,sh603766,2.4524
20251125,10.27,2.2323,1.46,10.05,False,sh688565,0.8494
20250815,18.95,0.2579,3.59,18.9,False,sh603949,0.5402
20250630,59.63,0.9151,-0.92,59.09,False,sh688185,0.8552
20240930,6.58,4.9005,5.32,6.28,False,sh600039,2.8198
20240927,2.55,0.1047,-3.53,2.55,False,sh600844,1.7242
20240927,8.22,1.8914,7.3,8.07,False,sh603906,1.6784
20240927,44.08,2.5518,0.32,42.98,False,sh603728,0.9732
20250117,0.11,1.3728,-4.46,0.11,False,sh900952,3.9978
20241101,3.52,5.5578,18.18,3.33,False,sh600193,1.3334
20240730,4.22,3.4166,-6.16,4.08,False,sh600609,1.8134
20240926,3.6,3.2329,11.68,3.48,False,sh600320,1.4737
20260108,34.5,1.001,3.19,34.16,False,sh688061,1.5546
20250625,17.4,0.4246,2.0,17.33,False,sh688355,1.7248
20240816,3.77,0.326,-0.53,3.76,False,sh600869,1.5016
20240930,2.95,1.4763,-6.78,2.91,False,sh600387,4.0877
20240927,7.93,0.9238,0.25,7.86,False,sh600596,2.0453
20250716,34.2,0.5082,-3.65,34.03,False,sh603666,2.1531
20250724,34.0,1.0134,12.15,33.66,False,sh688699,1.1257
20251110,17.52,0.9866,-0.29,17.35,False,sh605077,1.2913
20251105,63.29,1.1014,3.07,62.6,False,sh688103,0.7028
20240927,3.61,0.7545,6.09,3.58,False,sh603980,1.4366
20240801,10.36,0.1482,-3.57,10.34,False,sh600176,1.0541
20240930,16.53,7.7821,-6.11,15.34,False,sh603667,3.9765
20240930,2.83,0.9452,-1.41,2.8,False,sh600725,5.1536
20250624,19.1,4.6732,0.47,18.25,False,sh688733,3.2695
20240926,5.29,6.8741,7.75,4.95,False,sh601997,4.0343
20240927,3774.3,0.3796,6.03,3760.03,False,sh000133,1.4915
20240927,3.94,3.0896,-6.35,3.82,False,sh600115,2.8542
20240926,6.43,1.2995,7.93,6.35,False,sh600746,1.3841
20260114,15.44,0.9607,22.09,15.29,True,sh603056,0.6345
20251021,48.17,0.2084,9.8,48.07,False,sh688580,0.5437
20260126,9.8,0.4319,-3.67,9.76,False,sh601022,1.8742
20240927,13.01,3.9338,0.38,12.52,False,sh600508,2.9637
20240731,4.7,1.4443,4.04,4.63,False,sh600812,1.3757
20240927,31.21,1.8963,-1.03,30.63,False,sh603899,1.5986
20240806,7.13,1.4185,-1.54,7.03,False,sh601117,0.7651
