last_trade_date,today_close,prev_n_days,prev_n_max_high,n_day_high_break,ma120_breakthrough_date,price_at_ma120_segment_start,growth_pct_ma120_start_to_today,days_since_ma120_segment,ts_code
20260420,22.85,20,22.78,True,20251204,12.12,88.5314,88,001208
20260420,9.4,20,9.38,True,20251203,3.61,160.3878,89,002498
20260420,20.63,20,20.39,True,20251202,6.81,202.9369,90,002361
20260420,60.28,20,56.0,True,20251202,18.55,224.9596,90,002149
20260420,77.14,20,75.17,True,20251127,47.51,62.3658,93,301571
20260420,120.05,20,116.83,True,20251124,56.95,110.7989,96,002281
20260420,386.0,20,374.56,True,20251124,186.18,107.3262,96,300870
20260420,10.42,20,10.08,True,20251124,6.68,55.988,96,002300
20260420,23.9,20,21.73,True,20251124,9.04,164.3805,96,600330
20260420,63.02,20,61.0,True,20251124,18.05,249.1413,96,300342
20260420,25.53,20,23.84,True,20251124,10.9,134.2202,96,600879
20260420,35.51,20,34.43,True,20251107,14.56,143.8874,107,300102
20260420,8.56,20,8.48,True,20251103,6.56,30.4878,111,300272
20260420,48.7,20,45.93,True,20251031,26.49,83.843,112,603663
20260420,38.35,20,36.22,True,20251031,27.96,37.1602,112,603489
20260420,107.28,20,105.44,True,20251030,24.34,340.756,113,603629
20260420,19.53,20,18.22,True,20251030,6.76,188.9053,113,300058
20260420,61.37,20,59.97,True,20251024,28.53,115.1069,112,003041
20260420,24.31,20,21.54,True,20251023,13.52,79.8077,118,300518
20260420,43.14,20,39.22,True,20251021,11.87,263.4372,120,003018
20260420,22.02,20,21.2,True,20251021,14.76,49.187,120,300849
20260420,33.49,20,32.4,True,20251020,19.29,73.6133,121,003004
20260420,28.75,20,28.38,True,20251020,12.66,127.0932,121,300626
20260420,117.24,20,116.39,True,20251020,66.48,76.3538,121,603991
20260420,28.65,20,28.57,True,20251009,14.54,97.0426,128,603938
20260420,33.46,20,32.84,True,20250929,14.87,125.0168,130,300970
20260420,34.33,20,33.8,True,20250925,22.04,55.7623,132,002899
20260420,18.22,20,17.8,True,20250917,6.493,180.6099,138,601179
20260420,26.49,20,25.6,True,20250911,9.88,168.1174,142,300179
20260420,8.04,20,7.87,True,20250908,4.06,98.0296,145,000949
20260420,26.28,20,26.25,True,20250905,11.063,137.5486,146,688548
