ts_code,breakthrough_date,breakthrough_price,ma120_at_breakthrough,held_p0,held_ma120,held_p0_days,held_ma120_days,min_deviation_p0,min_deviation_ma,broke_p0_count,broke_ma_count,max_gain,final_gain,success
sz000908,20250205,4.33,4.25,False,False,89,82,-11.09,-14.98,31,38,46.65,38.57,True
sz002101,20240926,10.91,10.47,False,False,118,105,-0.92,-4.2,2,15,37.59,16.32,False
sz001338,20250905,11.7,11.69,False,False,100,93,-4.27,-4.37,20,27,12.22,12.22,False
sz300795,20250709,15.67,15.6,False,False,26,33,-14.7,-10.82,94,87,5.93,-12.47,False
sz300374,20240927,14.98,14.72,True,False,120,84,0.0,-11.87,0,36,58.95,10.41,False
sz399352,20240731,7004.81,6988.8,False,False,83,84,-5.67,-4.98,37,36,36.97,23.33,True
sz300872,20251020,22.41,22.11,False,False,3,5,-30.48,-23.81,116,114,1.2,-25.52,False
sz399635,20240927,1333.35,1260.59,True,False,120,118,0.0,-0.98,0,2,35.66,19.1,False
sz300189,20240924,2.2,2.18,True,False,120,116,0.0,-5.44,0,4,125.45,60.45,True
sz300613,20240926,33.95,33.53,True,True,120,120,0.0,0.0,0,0,114.46,66.04,True
sz000595,20240822,4.15,4.11,True,False,120,83,0.0,-26.3,0,37,186.51,60.0,True
sz001373,20250625,29.43,29.0,False,False,112,103,-4.32,-9.96,8,17,15.26,-1.26,False
sz000590,20240926,5.79,5.79,True,False,120,118,0.0,-1.95,0,2,65.46,46.98,True
sz300045,20240927,18.28,18.09,True,False,120,66,0.0,-18.2,0,54,78.88,6.13,False
sz002719,20240927,6.48,6.42,True,False,120,101,0.0,-11.63,0,19,67.9,9.41,False
sz002978,20250721,30.85,30.76,False,False,93,76,-4.02,-4.15,27,44,22.2,22.2,True
sz300522,20240927,10.82,10.77,True,False,120,116,0.0,-3.11,0,4,43.44,20.52,True
sz300658,20240924,4.48,4.4,True,False,120,116,0.0,-3.44,0,4,44.86,34.37,True
sz002757,20240926,11.67,11.6,True,True,120,120,0.0,0.0,0,0,118.25,78.41,True
sz301246,20250905,14.96,14.48,False,False,108,111,-5.15,-2.7,12,9,79.68,47.19,True
sz002230,20240927,40.3,39.86,True,False,120,113,0.0,-3.76,0,7,42.31,18.98,False
sz000723,20240930,5.19,4.97,False,False,10,63,-21.39,-10.93,110,57,4.43,-12.91,False
sz002463,20240809,31.91,31.68,False,False,109,102,-7.55,-9.62,11,18,41.27,17.99,False
sz300839,20260209,13.22,13.04,False,False,35,36,-6.96,-4.67,7,6,30.11,14.15,False
sz002936,20251021,2.05,2.04,False,False,9,5,-11.71,-7.54,109,113,0.98,-11.22,False
sz002167,20240930,6.37,6.1,False,False,111,119,-5.97,-0.24,9,1,69.23,43.33,True
sz301225,20251121,86.0,84.75,True,False,95,74,0.0,-19.29,0,21,101.16,34.65,True
sz002253,20240927,10.84,10.53,False,False,118,69,-2.03,-23.88,2,51,123.06,4.7,False
sz399653,20240926,2235.51,2172.7,True,False,120,117,0.0,-1.06,0,3,26.13,10.04,False
sz002129,20240927,9.42,9.13,False,False,49,55,-12.85,-11.99,71,65,34.61,-5.2,False
sz301096,20251226,55.93,55.87,False,False,22,21,-21.53,-21.56,48,49,7.96,3.59,False
sz300488,20240930,22.09,19.84,False,True,112,120,-5.79,0.0,8,0,128.4,67.11,True
sz000920,20240924,7.6,7.51,False,False,119,109,-0.66,-2.2,1,11,22.75,19.47,False
sz002860,20240930,8.71,8.34,False,False,110,119,-5.85,-1.1,10,1,29.16,22.38,True
sz002787,20240927,7.07,6.82,True,False,120,74,0.0,-10.53,0,46,75.78,29.27,True
sz200028,20240930,14.32,13.57,False,False,25,61,-19.48,-14.11,95,59,4.61,-17.67,False
sz300226,20240927,19.8,17.69,False,False,119,96,-0.66,-8.35,1,24,50.86,14.14,False
sz000069,20240926,2.41,2.24,False,False,118,76,-0.83,-10.81,2,44,41.08,0.41,False
sz300920,20251230,46.77,46.24,False,False,1,6,-23.46,-14.75,67,62,0.79,-14.52,False
sz002053,20240930,12.07,11.32,False,False,10,60,-12.92,-4.6,110,60,5.47,-7.46,False
sz300095,20240927,6.04,5.69,False,False,113,96,-2.32,-6.59,7,24,31.27,12.24,False
sz300689,20260127,53.3,51.67,False,False,7,13,-18.01,-12.08,43,37,9.62,-2.29,False
sz300268,20240930,7.26,7.06,False,False,74,75,-14.88,-14.23,46,45,33.33,32.23,True
sz002534,20240731,10.16,10.09,False,False,82,77,-12.99,-12.11,38,43,27.75,18.6,False
sz000027,20240930,6.84,6.62,False,False,4,37,-14.33,-7.42,116,83,10.23,-8.63,False
sz301311,20250905,19.8,19.68,False,False,29,18,-9.75,-11.9,91,102,9.44,-8.43,False
sz001209,20250624,17.42,16.95,False,False,118,114,-1.38,-4.89,2,6,66.48,15.33,False
sz399683,20240925,1557.34,1526.98,True,True,120,120,0.0,0.0,0,0,28.46,25.79,True
sz002282,20250702,7.58,7.53,False,False,51,64,-8.05,-5.99,69,56,5.01,-1.45,False
sz301046,20250624,19.55,19.52,True,True,120,120,0.0,0.0,0,0,67.42,34.32,True
sz002663,20240924,1.42,1.38,True,False,120,100,0.0,-7.33,0,20,80.28,26.06,True
