breakthrough_date,breakthrough_price,consolidation_amplitude,final_gain,success,ts_code,volatility_shrink_ratio
20240926,5.9,9.56,10.34,False,sh603318,1.5245
20240924,13.66,18.04,13.84,False,sh601058,1.0572
20251218,17.25,11.81,2.14,False,sh688681,1.1919
20240927,5.33,15.38,6.01,False,sh600409,1.6694
20250710,8.64,6.89,-1.39,False,sh603357,1.2825
20251128,25.63,19.04,-2.3,False,sh688178,0.9612
20240830,5.12,8.93,-7.23,False,sh601668,2.5314
20240930,11.05,25.98,-5.61,False,sh600970,5.2097
20240808,10.5,9.36,-3.43,False,sh600697,1.1847
20240731,7.66,16.9,-2.09,False,sh600710,0.3174
20250624,24.74,11.71,1.41,False,sh688598,1.0064
20240815,6.79,18.6,-2.36,False,sh600143,0.6251
20260107,65.49,15.95,10.02,False,sh688202,0.9881
20260323,31.11,7.74,2.89,False,sh603529,0.6457
20250711,35.0,11.62,5.17,False,sh688651,0.2574
20240926,4.33,24.03,2.08,False,sh600510,2.636
20240919,8.26,10.1,5.08,False,sh600343,0.6099
20240730,6.0,24.3,-3.17,False,sh603766,1.4699
20251125,10.27,16.24,1.46,False,sh688565,1.6969
20250815,18.95,19.76,3.59,False,sh603949,0.487
20250630,59.63,8.75,-0.92,False,sh688185,0.9262
20240930,6.58,24.76,5.32,False,sh600039,2.9072
20240927,2.55,11.19,-3.53,False,sh600844,3.1848
20240927,8.22,20.22,7.3,False,sh603906,2.7918
20240927,44.08,27.94,0.32,False,sh603728,1.8163
20250117,0.11,13.25,-4.46,False,sh900952,0.3835
20241101,3.52,32.08,18.18,False,sh600193,1.4157
20240730,4.22,23.71,-6.16,False,sh600609,0.7613
20240926,3.6,11.87,11.68,False,sh600320,0.888
20260108,34.5,13.69,3.19,False,sh688061,0.9901
20250625,17.4,7.01,2.0,False,sh688355,0.9935
20240816,3.77,34.78,-0.53,False,sh600869,0.1528
20240930,2.95,14.53,-6.78,False,sh600387,2.5051
20240927,7.93,12.85,0.25,False,sh600596,1.3802
20250716,34.2,11.34,-3.65,False,sh603666,0.4718
20250724,34.0,8.01,12.15,False,sh688699,1.894
20251110,17.52,16.56,-0.29,False,sh605077,0.9678
20251105,63.29,23.04,3.07,False,sh688103,1.598
20240927,3.61,12.72,6.09,False,sh603980,2.3853
20240801,10.36,13.15,-3.57,False,sh600176,1.1124
20240930,16.53,23.88,-6.11,False,sh603667,6.1709
20240930,2.83,15.69,-1.41,False,sh600725,2.1787
20250624,19.1,12.49,0.47,False,sh688733,0.7944
20240926,5.29,13.65,7.75,False,sh601997,1.2086
20240927,3774.3,9.62,6.03,False,sh000133,2.0626
20240927,3.94,11.49,-6.35,False,sh600115,2.0424
20240926,6.43,9.05,7.93,False,sh600746,2.1727
20260114,15.44,6.98,22.09,True,sh603056,1.1049
20251021,48.17,12.87,9.8,False,sh688580,1.0702
20260126,9.8,6.79,-3.67,False,sh601022,1.2982
20240927,13.01,19.08,0.38,False,sh600508,2.0425
20240731,4.7,14.23,4.04,False,sh600812,0.3847
20240927,31.21,18.75,-1.03,False,sh603899,3.5439
20240806,7.13,7.75,-1.54,False,sh601117,1.1693
20240807,8.91,13.93,-2.69,False,sh600021,1.8853
20251024,21.15,30.58,7.94,False,sh688360,0.9024
20240920,2.36,17.03,27.54,True,sh600376,1.1352
20240904,4.28,16.2,-0.23,False,sh600525,0.7177
20251212,45.84,14.61,-4.32,False,sh688550,0.4997
20241218,7.95,23.96,-11.19,False,sh600611,0.5317
20240927,18.32,15.09,-1.53,False,sh603100,1.455
20240926,0.49,11.47,11.11,False,sh900904,0.5861
20240930,4.48,22.11,-3.79,False,sh603429,1.0313
20250908,27.66,10.48,-1.27,False,sh603235,2.3074
20240731,7.95,23.55,-7.3,False,sh603936,0.848
20240927,35.19,13.3,-1.22,False,sh600009,2.4486
20240930,7.37,19.81,-10.44,False,sh603718,1.724
20240926,9.35,9.39,5.03,False,sh600793,1.4294
20250721,44.19,13.39,2.2,False,sh688348,0.7767
20251124,36.05,24.65,1.64,False,sh603757,1.5955
20240927,5136.44,11.72,5.46,False,sh000852,2.9007
20250722,10.32,20.22,-1.16,False,sh688306,1.3165
20250708,104.27,7.94,-3.14,False,sh688032,1.09
20240830,18.17,23.85,-2.2,False,sh600520,1.4906
20250326,176.31,1.1,0.14,False,sh000061,0.5948
20250723,137.38,13.68,6.88,False,sh688536,0.5985
20240731,18.36,16.5,-1.31,False,sh600990,1.6703
20240927,5.03,13.85,0.4,False,sh603166,1.7991
20240926,3.59,10.24,11.98,False,sh600310,1.8346
20251222,39.98,51.32,-0.45,False,sh688051,4.1109
20240906,12.18,4.76,-0.33,False,sh601688,0.9847
20260120,59.45,12.75,0.42,False,sh603400,1.4579
20251215,101.12,8.9,1.38,False,sh688578,1.4618
20241008,9.38,30.6,-11.3,False,sh603955,2.619
20240927,5.61,14.69,0.0,False,sh603128,2.3904
20240925,9.89,11.4,17.3,False,sh600639,2.8367
20250821,9.28,4.22,-1.4,False,sh600025,0.7711
20240930,8.72,15.96,-5.16,False,sh600097,2.3057
20251031,21.21,26.29,-3.91,False,sh603367,2.9938
20250916,11.72,11.24,-5.89,False,sh603329,0.3753
20260206,26.83,12.04,5.03,False,sh688251,1.2095
20240927,2.92,11.43,1.37,False,sh603601,2.2874
20240920,1.28,8.38,16.41,False,sh600743,0.9795
20240930,3.81,30.88,-6.04,False,sh600110,1.4532
20250701,23.2,8.73,3.19,False,sh605011,1.3595
20250819,26.7,11.91,-3.03,False,sh688165,1.1596
20240930,26.66,18.01,-8.51,False,sh603031,2.2907
20250801,37.89,11.38,2.4,False,sh603283,1.4361
20260112,32.09,10.55,-2.09,False,sh688232,2.8954
20250624,17.71,9.65,0.06,False,sh688106,1.9887
20240801,2.78,14.4,0.36,False,sh601616,0.4653
20240926,2627.37,9.91,10.57,False,sh000155,1.7104
20251113,2.85,21.52,-9.82,False,sh603557,4.6844
20240927,6701.54,12.86,3.01,False,sh000966,3.5276
20240930,4.18,21.26,-1.2,False,sh600711,1.4918
20250728,9.22,7.07,-4.45,False,sh605377,0.7557
20240927,21.49,19.55,-1.02,False,sh603000,2.7258
20260113,49.6,12.34,-7.58,False,sh688137,0.9879
20240806,42.71,14.05,-0.56,False,sh600276,0.6214
