breakthrough_date,breakthrough_price,final_gain,is_premium,ma_proximity,multi_ma_bullish,new_high,success,ts_code,volume_surge
20260105,30.93,11.02,False,False,False,False,False,sh688260,False
20250902,8.85,-5.99,False,True,False,False,False,sh601825,True
20250625,35.25,8.37,False,True,False,False,False,sh688433,False
20240930,11.12,-4.23,False,False,False,True,False,sh603630,True
20240927,3.39,6.19,False,False,False,True,False,sh600121,True
20240927,4905.48,1.31,False,False,False,True,False,sh000107,False
20240924,10.82,21.63,False,False,False,True,True,sh600446,True
20251020,14.0,1.79,False,False,False,False,False,sh688707,False
20240816,5.8,-4.83,False,True,False,False,False,sh600015,False
20240926,1.92,7.81,False,False,False,True,False,sh600868,True
20250625,5.56,6.83,False,False,False,False,False,sh603682,False
20240930,4.77,-7.33,False,False,False,True,False,sh600572,True
20250708,27.15,4.75,False,False,False,False,False,sh688633,False
20240906,5.5,-2.18,False,False,False,True,False,sh600826,True
20250624,14.74,3.51,False,True,False,False,False,sh603201,False
20240926,2.57,2.72,False,False,False,True,False,sh600496,True
20250701,36.81,-9.59,False,False,False,True,False,sh688337,True
20250625,18.17,5.5,False,True,False,False,False,sh605177,False
20240926,1994.07,13.2,False,False,False,True,False,sh000828,True
20240927,12.3,-2.68,False,False,False,True,False,sh603885,True
20250819,109.0,3.36,False,False,False,True,False,sh688332,True
20240830,5.95,-1.68,False,False,False,True,False,sh600073,True
20240926,79.97,-5.25,False,False,False,False,False,sh600309,False
20250624,29.74,1.88,False,True,False,False,False,sh688181,False
20250624,53.66,6.75,False,True,False,False,False,sh688048,False
20251113,37.84,7.9,False,False,False,False,False,sh603130,False
20260121,14.12,-4.89,False,False,False,False,False,sh605208,False
20250929,11.94,0.75,False,False,False,False,False,sh603700,False
20240927,16.87,-2.79,False,False,False,True,False,sh601168,False
20240925,4.15,11.08,False,False,False,False,False,sh600539,False
20250905,53.77,9.54,False,False,True,False,False,sh603267,False
20240930,18.64,-12.61,False,False,False,True,False,sh600197,True
20240930,8.75,-3.54,False,False,False,True,False,sh603686,True
20250624,47.12,-2.16,False,True,False,False,False,sh688065,False
20250729,32.79,3.26,False,False,False,True,False,sh605111,False
20240730,0.26,-1.14,False,False,False,True,False,sh900918,True
20240816,10.85,-1.84,False,False,False,True,False,sh603701,True
20240919,4.1,34.88,False,False,False,True,True,sh600643,False
20240926,2.92,4.8,False,False,False,True,False,sh601212,False
20250630,27.35,2.71,False,False,False,True,False,sh688298,False
20250711,281.46,25.36,False,False,False,False,True,sh688502,False
20250701,8.23,-0.49,False,True,False,False,False,sh600916,False
20240924,15.02,12.45,False,False,False,True,False,sh601788,True
20251010,21.64,0.18,False,False,False,False,False,sh688151,True
20250725,69.28,-6.18,False,False,False,True,False,sh688702,True
20240927,15.96,3.07,False,False,False,True,False,sh601012,False
20240927,97.19,12.54,False,False,False,True,False,sh603501,False
20240925,4.95,6.67,False,False,False,True,False,sh600210,False
20240926,9.5,3.16,False,False,False,True,False,sh603066,False
20240924,2.05,8.29,False,False,False,True,False,sh600397,True
20250624,54.37,-2.51,False,True,False,False,False,sh688685,False
20240925,6.25,0.64,False,False,False,True,False,sh603028,True
20241008,19.85,-5.19,False,False,False,True,False,sh603855,True
20240925,9.05,22.1,False,False,False,True,True,sh600739,True
20250624,30.06,3.13,False,False,False,True,False,sh688478,True
20250904,30.68,2.05,False,False,False,False,False,sh605296,False
20240926,3189.28,8.78,False,False,False,True,False,sh000952,True
20250624,21.36,2.9,False,True,False,False,False,sh603004,False
20240926,3.03,0.99,False,False,False,True,False,sh600693,False
20240925,7.74,14.99,False,False,False,True,False,sh600109,True
20240926,11.17,2.42,False,False,False,False,False,sh600420,False
20240927,1369.76,6.39,False,False,False,True,False,sh000161,False
20251020,14.57,9.33,False,False,False,False,False,sh688455,False
20251126,33.77,4.86,False,False,False,False,False,sh688206,False
20240927,7.47,4.42,False,False,False,True,False,sh600714,False
20240930,11.45,13.97,False,False,False,True,False,sh603656,True
20240927,5.16,-0.19,False,False,False,True,False,sh601226,False
20240731,14.52,-6.96,False,False,False,False,False,sh600859,False
20251103,15.0,-8.6,False,False,False,False,False,sh688365,False
20250924,8.49,-2.36,False,False,False,False,False,sh688602,False
20251119,253.73,6.67,False,False,False,False,False,sh603129,False
20250729,110.34,9.02,False,False,False,True,False,sh688198,False
20240830,5.37,6.33,False,False,False,True,False,sh600543,False
20240924,9.02,14.41,False,False,False,False,False,sh600817,False
20240821,12.52,-12.06,False,False,False,True,False,sh603586,True
20251112,12.86,-1.71,False,False,False,True,False,sh603230,False
20250627,58.76,-0.9,False,False,False,True,False,sh688281,False
20240926,0.5,17.2,False,False,False,False,False,sh900901,False
20250820,20.73,-0.63,False,False,False,True,False,sh605108,True
20240926,13.75,3.56,False,False,False,False,False,sh600373,False
20260302,113.74,4.52,False,False,False,False,False,sh603083,True
20251208,46.69,12.42,False,False,False,False,False,sh688661,True
20250710,13.71,-6.56,False,False,False,True,False,sh603719,True
20251218,11.7,4.79,False,False,False,False,False,sh603937,False
20241008,13.08,-12.61,False,False,False,True,False,sh603985,True
20240927,9.03,3.99,False,False,False,True,False,sh600720,False
20240731,41.62,-1.56,False,True,False,False,False,sh603556,False
20250808,107.49,-0.42,False,True,False,False,False,sh600941,True
20240730,4.79,18.37,False,True,False,False,False,sh600889,False
20241008,8.22,-8.88,False,False,False,True,False,sh603518,True
20250625,18.8,0.69,False,False,False,False,False,sh688081,False
20260316,8.97,-11.82,False,False,False,False,False,sh688148,True
20240930,19.93,-6.02,False,False,False,True,False,sh600593,True
20240926,7.94,2.52,False,False,False,True,False,sh603861,False
20260305,113.49,8.85,False,False,False,False,False,sh688585,False
20250624,9.18,2.4,False,True,False,False,False,sh603053,False
20240913,2.39,18.83,False,False,False,True,False,sh600439,True
20240816,6.9,8.69,False,False,False,False,False,sh603328,False
