ts_code,breakthrough_date,roe,netprofit_yoy,final_gain,success
sh601888,20240927,,,-3.14,False
sh000851,20240926,,,5.93,False
sh600839,20240823,,,-0.61,False
sh688305,20250716,,,2.61,False
sh600523,20240801,,,-5.09,False
sh603232,20240924,,,10.98,False
sh603280,20251121,,,2.59,False
sh600170,20240927,,,4.15,False
sh688718,20251205,,,-6.2,False
sh600590,20240927,,,29.74,True
sh000118,20240927,,,3.44,False
sh600459,20240930,,,-4.16,False
sh600094,20240802,,,-13.22,False
sh601990,20250625,,,-2.33,False
sh688586,20250919,,,4.12,False
sh600269,20240819,,,-7.03,False
sh603578,20240930,,,-5.37,False
sh688128,20251124,,,0.7,False
sh688401,20260408,,,6.97,False
sh600740,20240927,,,-0.49,False
sh600227,20240911,,,5.33,False
sh603536,20240924,,,-2.06,False
sh601858,20240927,,,3.26,False
sh688166,20260401,,,14.29,False
sh601868,20250707,,,12.98,False
sh603506,20251020,,,-0.85,False
sh000937,20240822,,,-5.99,False
sh603633,20241008,,,-7.83,False
sh688157,20250715,,,16.95,False
sh600712,20240806,,,-8.85,False
sh688200,20250729,,,-3.56,False
sh600088,20240930,,,-2.77,False
sh603378,20251016,,,63.56,True
sh603799,20240927,,,8.05,False
sh603185,20250702,,,17.99,False
sh600426,20240930,,,-11.21,False
sh603565,20251124,,,1.27,False
sh600468,20240930,,,-4.97,False
sh603179,20240926,,,4.86,False
sh600668,20240801,,,-1.38,False
sh688529,20250624,,,0.51,False
sh603202,20260121,,,-3.66,False
sh600495,20240919,,,13.1,False
sh603882,20250729,,,-2.38,False
sh600075,20240903,,,-3.86,False
sh600626,20240830,,,5.59,False
sh605389,20260313,,,1.59,False
sh603599,20240930,,,-15.14,False
sh603203,20240731,,,-6.12,False
sh688357,20251229,,,-0.49,False
sh603929,20240813,,,-8.8,False
sh600016,20240925,,,9.03,False
sh600645,20240801,,,1.61,False
sh600571,20240925,,,14.24,False
sh605117,20250822,,,29.68,True
sh688063,20260203,,,3.8,False
sh601121,20251218,,,5.55,False
sh603261,20250702,,,-5.77,False
sh600191,20240731,,,-1.39,False
sh600825,20240920,,,8.72,False
sh600058,20240927,,,-2.09,False
sh603155,20251031,,,12.19,False
sh605090,20260323,,,-0.89,False
sh603150,20250624,,,0.06,False
sh600369,20240731,,,-3.4,False
sh605268,20260304,,,13.54,False
sh688066,20250625,,,-0.37,False
sh600327,20240927,,,5.03,False
sh600640,20240927,,,11.35,False
sh688501,20250924,,,6.81,False
sh600517,20240924,,,13.66,False
sh688656,20260105,,,-3.31,False
sh603886,20241107,,,0.45,False
sh601028,20240923,,,3.64,False
sh600623,20240731,,,-3.29,False
sh603380,20251201,,,-3.63,False
sh000865,20240731,,,-4.25,False
sh688182,20250805,,,-2.84,False
sh600559,20240926,,,3.06,False
sh600843,20240912,,,15.09,False
sh600938,20250626,,,2.91,False
sh601988,20250616,,,4.55,False
sh600690,20240731,,,-9.3,False
sh688418,20250801,,,1.11,False
sh600977,20240927,,,-2.13,False
sh600759,20241008,,,-11.99,False
sh600423,20240927,,,-0.39,False
sh000162,20240926,,,10.34,False
sh603049,20260203,,,2.8,False
sh600939,20240926,,,53.69,True
sh603298,20240926,,,-12.67,False
sh688152,20250630,,,-6.25,False
sh603679,20251128,,,1.0,False
sh601011,20240927,,,6.63,False
sh603818,20240930,,,-11.62,False
sh600774,20240930,,,-8.1,False
sh688435,20250711,,,2.19,False
sh688686,20251225,,,4.02,False
sh605068,20260105,,,2.48,False
sh603350,20250625,,,5.44,False
sh603233,20250923,,,0.06,False
sh688518,20251205,,,-4.19,False
sh601208,20240926,,,3.73,False
sh900902,20240918,,,21.6,True
sh688008,20240304,,,-3.98,False
sh688556,20250630,,,2.92,False
sh600617,20240731,,,-3.24,False
sh600370,20240926,,,0.66,False
sh688662,20250708,,,20.19,True
sh688031,20250725,,,-4.19,False
sh600027,20241223,,,-11.19,False
sh603165,20240926,,,0.84,False
sh688366,20250724,,,-1.41,False
sh605588,20250718,,,2.93,False
sh600313,20240930,,,-1.25,False
sh600540,20240927,,,5.07,False
sh600814,20240806,,,-5.51,False
sh605368,20250722,,,-1.33,False
sh600113,20240903,,,3.58,False
sh601311,20240902,,,-4.86,False
sh600689,20240926,,,7.98,False
sh603198,20240926,,,1.77,False
sh688252,20250625,,,-2.87,False
sh603863,20250707,,,3.85,False
sh601991,20240930,,,-6.31,False
sh000135,20240926,,,10.38,False
sh603986,20240930,,,1.76,False
sh603032,20240911,,,2.28,False
sh603306,20240902,,,-10.6,False
sh688105,20250630,,,2.87,False
sh603307,20260109,,,1.41,False
sh601008,20240927,,,3.66,False
sh600768,20240925,,,9.92,False
sh603551,20251031,,,3.44,False
sh000153,20240930,,,-6.28,False
sh601377,20240731,,,-4.05,False
sh600222,20240806,,,-9.19,False
sh601020,20240830,,,-10.64,False
sh603648,20260122,,,-2.28,False
sh688257,20250624,,,1.49,False
sh600745,20240927,,,9.95,False
