benchmark_gain,breakthrough_date,breakthrough_price,final_gain,rs_diff,stock_gain,success,ts_code
12.53,20240920,12.98,10.09,-9.25,10.09,False,sh600476
0.0,20250924,21.39,9.12,-11.9,9.12,False,sh688737
0.82,20250624,4.52,0.88,1.91,0.88,False,sh601068
10.03,20240926,10.03,15.95,2.29,15.95,False,sh603600
5.69,20240927,18.72,6.14,5.33,6.14,False,sh600111
5.69,20240927,20.76,-0.63,5.21,-0.63,False,sh600438
0.0,20251020,11.2,0.0,-9.82,0.0,False,sh603535
0.82,20250624,17.72,0.9,4.03,0.9,False,sh688584
-0.29,20241021,8.36,0.48,33.78,0.48,False,sh603018
0.0,20250627,26.15,4.86,-0.16,4.86,False,sh603530
0.0,20251229,4.68,-3.63,-4.1,-3.63,False,sh603363
0.0,20250916,22.08,-12.14,0.05,-12.14,False,sh603057
0.0,20250911,3.97,-2.52,-3.17,-2.52,False,sh600968
-2.13,20240801,13.35,-0.52,2.04,-0.52,False,sh601811
-0.22,20250625,26.14,-1.68,3.95,-1.68,False,sh688161
0.0,20260105,24.91,-0.76,2.89,-0.76,False,sh688236
-2.35,20240731,6.49,0.0,2.69,0.0,False,sh600177
-2.35,20240731,3.66,-3.45,11.43,-3.45,False,sh601375
10.03,20240926,3.71,-0.54,-1.11,-0.54,False,sh600724
5.69,20240927,3.2,7.81,-1.03,7.81,False,sh601188
0.0,20250709,24.34,4.44,7.98,4.44,False,sh603629
0.0,20250717,76.66,-0.57,8.74,-0.57,False,sh688278
-4.05,20240930,17.4,-10.46,12.6,-10.46,False,sh603806
-4.05,20240930,14.62,-6.7,13.31,-6.7,False,sh603628
-0.87,20240816,7.74,1.03,9.67,1.03,False,sh601872
0.0,20250627,15.77,1.0,-5.11,1.0,False,sh688085
10.03,20240926,17.76,7.49,8.7,7.49,False,sh603286
5.69,20240927,23.27,-6.96,27.59,-6.96,False,sh601595
5.69,20240927,4.07,1.72,-1.91,1.72,False,sh603086
12.53,20240920,4.91,8.76,-12.83,8.76,False,sh600797
0.0,20251209,54.28,-6.69,15.05,-6.69,False,sh688302
0.0,20260226,55.0,-10.91,2.59,-10.91,False,sh688665
-0.22,20250625,15.87,2.84,5.04,2.84,False,sh603933
0.82,20250624,36.18,0.14,-6.21,0.14,False,sh603583
0.0,20250804,15.55,6.3,8.51,6.3,False,sh603219
0.0,20250716,25.81,-6.16,14.61,-6.16,False,sh603950
0.82,20250624,3.65,0.82,8.46,0.82,False,sh688055
-2.35,20240731,0.53,-2.85,15.6,-2.85,False,sh900928
0.26,20240808,8.27,-6.41,10.38,-6.41,False,sh601116
0.0,20251201,59.63,-3.24,-10.06,-3.24,False,sh603257
-0.99,20240815,4.92,-1.63,9.37,-1.63,False,sh601158
-0.67,20240807,7.61,3.68,-6.85,3.68,False,sh600642
-1.03,20250320,6.66,-1.2,8.0,-1.2,False,sh600011
0.0,20250630,41.39,10.82,34.88,10.82,False,sh688503
-2.23,20240906,5.28,-11.55,-7.47,-11.55,False,sh600576
0.0,20251114,42.92,-8.67,-5.88,-8.67,False,sh688484
10.03,20240926,8.36,4.9,4.39,4.9,False,sh600822
0.02,20240806,7.54,-0.66,11.5,-0.66,False,sh603229
3.74,20241018,4.06,4.68,23.27,4.68,False,sh600538
0.82,20250624,29.22,0.61,-0.74,0.61,False,sh603205
-0.7,20240909,4.22,-11.14,-11.11,-11.14,False,sh600841
-8.32,20241008,7.0,-8.71,21.34,-8.71,False,sh603903
10.03,20240926,3.38,8.87,-4.18,8.87,False,sh600308
0.0,20251015,38.43,0.29,-20.37,0.29,False,sh688180
-2.69,20240830,1.4,-2.29,-25.23,-2.29,False,sh900934
-2.35,20240731,31.44,-3.78,4.58,-3.78,False,sh603383
0.0,20251201,54.83,-2.19,0.18,-2.19,False,sh688049
0.0,20250924,14.15,5.72,-3.48,5.72,False,sh688560
-2.35,20240731,13.48,-2.97,16.25,-2.97,False,sh600621
0.0,20250707,15.75,-1.21,-1.5,-1.21,False,sh600989
0.0,20250902,9.03,-2.32,-4.44,-2.32,False,sh601939
0.0,20250729,15.72,-2.1,9.78,-2.1,False,sh688007
