,co_name,symbol,market,asset,co_business,amplitude,pe_s_d,co_intro,sc,hk_equity,exchange,mv,pe_s,pb_d,equity,ps,industry,turnover,oo,pb_MRQ
125,建滔集团,00148,主板,36.20,-,-,-,建滔集团有限公司,-,10.38亿,HK,295.94亿,5.9079,0.79,10.38亿,0.81,综合化工产品,0.07%,-,-
126,中国农产品交易,00149,主板,0.49,-,-,-,中国农产品交易有限公司,-,16.59亿,HK,4.73亿,-,0.59,16.59亿,0.45,中国房地产,3.93%,-,-
127,HYPEBEAST,00150,主板,-,-,-,-,Hypebeast Limited,-,-,HK,-,-,-,-,-,-,-,-,-
128,中国旺旺,00151,主板,1.11,-,-,-,中国旺旺控股有限公司,-,125.14亿,HK,680.77亿,17.1335,4.90,125.14亿,2.95,包装食品与肉类,0.06%,-,-
129,深圳国际,00152,主板,9.52,-,-,-,深圳国际控股有限公司,-,19.58亿,HK,245.90亿,11.7891,1.32,19.58亿,3.08,公路基建,0.13%,-,-
130,北京控股环境集团,00154,主板,1.42,-,-,-,北京控股环境集团有限公司,-,15.00亿,HK,21.46亿,16.3758,1.00,15.00亿,4.35,-,0.02%,-,-
131,力宝华润,00156,主板,0.44,-,-,-,力宝华润有限公司,-,91.87亿,HK,22.78亿,-,0.57,91.87亿,0.89,中国房地产,0.01%,-,-
132,自然美,00157,主板,0.33,-,-,-,自然美生物科技有限公司,-,20.02亿,HK,16.82亿,11.4673,2.57,20.02亿,3.33,美容护肤,-,-,-
133,万邦投资,00158,主板,267.95,-,-,-,万邦投资有限公司,-,2500.00万,HK,49.25亿,17.1412,0.74,2500.00万,20.64,地产投资,0.04%,-,-
134,布莱克万矿业,00159,主板,0.05,-,-,-,布莱克万矿业有限公司,-,83.82亿,HK,14.42亿,-,3.17,83.82亿,87.33,金属采矿及相关贸易,-,-,-
135,汉国置业,00160,主板,10.62,-,-,-,汉国置业有限公司,-,7.20亿,HK,33.14亿,7.1401,0.43,7.20亿,1.29,地产投资,0.02%,-,-
136,世纪金花,00162,主板,4.27,-,-,-,世纪金花商业控股有限公司,-,11.39亿,HK,4.21亿,19.6525,0.09,11.39亿,0.33,百货公司,0.02%,-,-
137,英皇国际,00163,主板,5.98,-,-,-,英皇国际集团有限公司,-,36.78亿,HK,86.05亿,-,0.39,36.78亿,1.91,地产投资,0.03%,-,-
138,中国宝力科技,00164,主板,0.02,-,-,-,中国宝力科技控股有限公司,-,345.05亿,HK,66.25亿,-,8.89,345.05亿,100.53,综合化工产品,0.03%,-,-
139,中国光大控股,00165,主板,22.08,-,-,-,中国光大控股有限公司,-,16.85亿,HK,296.60亿,7.2384,0.80,16.85亿,12.64,证券及经纪业,0.14%,-,-
140,新时代集团控股,00166,主板,0.39,-,-,-,新时代集团控股有限公司,-,88.65亿,HK,26.15亿,-,0.76,88.65亿,30.93,石油/燃气加工及分销,0.03%,-,-
141,IDT INT'L,00167,主板,0.10,-,-,-,万威国际有限公司,-,26.00亿,HK,6.47亿,-,2.40,26.00亿,1.12,电子消费品,0.02%,-,-
