,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
5058,苏轩堂,SXTC,US,2.1,-,4.48%,-0.06/-,-,-0.99,-,-,-,-,621.20万,-636.88万,制药,3.08%,0.22%,0.307
5059,60 Degrees,SXTP,US,1.63,-,4.68%,-11.73/-,-,-4.68,-,-,-,-,429.80万,-786.62万,制药,2.13%,0.37%,-
5060,新氧,SY,US,2.72,-,2.41%,-0.44/-,-,0.74,-,-,-,-,2.73亿,-3464.86万,医疗保健设备,0.28%,15.00%,1.23
5061,Stock Yards Bancorp,SYBT,US,70.49,-,2.72%,4.77/14.85,-,0.07,-,-,NASDAQ,-,20.81亿,1.40亿,商业银行,0.54%,61.47%,1.93
5062,Synchrony Financial,SYF,US,76.3,http://www.synchronyfinancial.com,1.91%,2.29/7.31,"Synchrony Financial is one of the premier consumer financial services companies in the United States. We provide a range of credit products through programs we have established with a diverse group of national and regional retailers, local merchants, manufacturers, buying groups, industry associations and healthcare service providers, which we refer to as our “partners.” During 2013, we financed $93.9 billion of purchase volume, and at December 31, 2013, we had $57.3 billion of loan receivables and 62.0 million active accounts. For the three months ended March 31, 2014, we financed $21.1 billion of purchase volume, and at March 31, 2014, we had $54.3 billion of loan receivables and 57.3 million active accounts. For the year ended December 31, 2013, we had net earnings of $2.0 billion, representing a return on assets of 3.5%, and for the three months ended March 31, 2014, we had net earnings of $558 million, representing a return on assets of 3.9%. See “Summary Historical and Pro Forma Financial Information” for return on assets, return on equity and equity to assets ratios.",-0.42,S1/F1,-,NYSE,-,257.09亿,7.84亿,消费信贷,1.27%,107.40%,1.69
5063,史赛克,SYK,US,327.51,-,2.91%,8.49/38.64,史赛克公司是全球最大的骨科及医疗科技公司之一，总部设于美国密西根州的克拉马苏市，在全球有14个生产研发及销售分部，员工超过一万六千多人。产品涉及关节置换、创伤、颅面、脊柱、手术设备、神经外科、耳鼻喉、介入性疼痛管理、微创手术、导航手术、智能化手术室及网络通讯、生物科技、医用床、急救推床等。由于业绩良好，史赛克公司分别被美国著名的《财富》杂志及《Business Week》评为财富500强公司及全美50大医疗公司之一。美国史赛克公司亚太总部设于香港，支持史赛克公司在亚太地区多个国家的业务发展，包括大中华、澳洲、新西兰、韩国和东南亚地区；提供财务、人力资源、市场推广、信息管理及产品策略支持。,-0.65,-,-,NYSE,-,1254.31亿,32.46亿,医疗保健设备,0.47%,78.72%,5.59
5064,Symbotic,SYM,US,59.39,-,7.68%,0.02/-,-,-4.99,-,-,-,-,357.63亿,260.20万,软件,2.41%,110.86%,53.89
5065,Synaptics,SYNA,US,93.86,-,8.92%,-0.91/-,-,10.49,-,-,NASDAQ,-,36.35亿,-3540.00万,半导体产品与设备,4.82%,98.43%,2.63
5066,Silynxcom,SYNX,US,1.19,-,2.50%,-0.27/-,-,-0.83,-,-,-,-,789.49万,-163.60万,耐用消费品,0.78%,1.05%,1.2
5067,Sypris Solutions,SYPR,US,3.79,-,7.96%,-0.28/-,-,3.27,-,-,NASDAQ,-,8728.36万,-633.80万,汽车零配件,0.54%,16.60%,4.67
5068,Spyre Therapeutics,SYRE,US,69.67,-,5.25%,-1.98/-,-,0.62,-,-,-,-,60.10亿,-1.55亿,生物科技,0.85%,94.77%,10.74
5069,西斯科,SYY,US,76.56,http://www.sysco.com/,2.31%,1.81/20.37,"Sysco Corp（NYSE：SYY）是北美最大的食品销售企业；为36万家餐厅，饭店，学校，医院等提供餐食。该公司销售的食品包括鲜冻肉，海鲜，家禽，蔬菜，水果,零食，以及环保餐具，厨房用品等。",0.99,-,-,NYSE,-,366.09亿,8.66亿,食品与日用品零售,1.01%,88.24%,16.04
5070,Sizzle,SZZL,US,10.3,-,0.10%,0.26/49.78,-,0,-,-,-,-,3.22亿,646.98万,资本市场,0.25%,90.98%,-
5071,美国电话电报,T,US,26.2,http://www.att.com,2.07%,0.54/8.57,AT&T(T)是全美第一大移动运营商（收购T-Mobile美国后），第一大互联网服务提供商（康卡斯特居第二位）。旗下主要业务部门有：通信服务集团、网络系统集团、AT&T环球信息服务集团和多媒体产品和服务集团。2011年3月AT&T以价值390亿美元的现金和股票收购德国电信旗下美国子公司T-Mobile美国。,-1.54,-,-,NYSE,-,1824.83亿,37.93亿,综合电信业务,0.44%,66.56%,1.66
5072,Transalta,TAC,US,12.49,-,4.64%,-0.47/-,-,3.39,-,-,NYSE,-,37.13亿,-1.39亿,独立电力生产商,0.42%,73.70%,11.14
5073,Titan Acquisition,TACH,US,-,-,-,0.27/49.2,-,-,-,-,-,-,3.56亿,723.62万,资本市场,0.00%,94.51%,1.31
5074,Berto,TACO,US,10.32,-,0.29%,0.29/49.16,-,0.19,-,-,NASDAQ,-,3.87亿,787.63万,资本市场,0.48%,71.18%,1.3
5075,Transact,TACT,US,3.43,-,1.47%,-0.12/-,-,0.88,-,-,NASDAQ,-,3524.76万,-124.00万,电脑与外围设备,0.10%,47.24%,1.13
5076,武田制药,TAK,US,16.63,-,0.69%,0.88/72.95,-,-0.12,-,-,-,-,525.37亿,13.78亿,制药,0.05%,2.64%,1.08
5077,好未来,TAL,US,11.24,http://www.100tal.com/,5.73%,2.79/12.92,"好未来（前学而思）创建于2003年，是一家中国领先的教育科技企业，以科技驱动、人才亲密、品质领先为发展的核心目标。自创立以来，好未来一直致力于促进科技互联网与教育融合，为孩子创造更美好的学习体验。

好未来业务专注在0－24岁的教育领域，旗下拥有五个主品牌：学而思培优、智康1对1、摩比思维馆、学而思网校和家长帮（2014年8月原E度论坛正式更名家长帮社区）。其中，学而思培优作为K12高端培优教育平台，下设三个子品牌：学而思理科、乐加乐英语和东学堂语文。

2010年10月20日，好未来的前身学而思在美国纽交所正式挂牌交易，发行价为10美元/ADS（1ADS=2普通股），共融资1.2亿美元。",3.02,S1/F1,52926669转1111/3333/6666,NYSE,北京市海淀区中关村大街32号和盛大厦18层,68.57亿,5.31亿,综合消费者服务,0.80%,170.48%,1.82
5078,Talkspace,TALK,US,5.18,-,0.19%,0.05/111.3,-,0.19,-,-,-,-,8.68亿,779.30万,医疗保健服务,1.06%,59.18%,7.41
5079,Talos Energy,TALO,US,14.9,-,2.30%,-2.82/-,-,-2.17,-,-,-,-,24.87亿,-4.94亿,石油与天然气,0.71%,70.86%,1.15
