,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
2394,Hannon Armstrong,HASI,US,41.75,-,2.27%,1.49/29.72,-,-0.31,-,-,NYSE,-,54.85亿,1.85亿,专业房地产投资信托,0.64%,98.05%,2.13
2395,Harvard Ave,HAVA,US,10.03,-,0.00%,0.09/284.7,-,-0.03,-,-,-,-,2.08亿,72.91万,资本市场,0.00%,29.36%,-
2396,Hayward Holdings,HAYW,US,15.36,-,2.12%,0.7/22.06,-,0.2,-,-,-,-,33.43亿,1.52亿,机械制造,1.15%,101.75%,2.1
2397,亨廷顿银行,HBAN,US,16.4,-,2.82%,0.26/16.07,-,-2.56,-,-,NASDAQ,-,332.45亿,4.82亿,商业银行,0.79%,88.98%,1.12
2398,Hamilton Beach,HBB,US,20.87,-,3.04%,1.95/10.71,-,0.63,-,-,-,-,2.83亿,2645.50万,耐用消费品,0.18%,39.60%,1.55
2399,Home合众银行,HBCP,US,61.96,-,1.94%,5.93/10.45,-,-0.9,-,-,NASDAQ,-,4.85亿,1136.00万,商业银行,1.26%,47.70%,1.09
2400,哈佛生物科学,HBIO,US,6.86,-,6.05%,-1.28/-,"Harvard Bioscience is a global developer, manufacturer and marketer of a broad range of specialized products, primarily apparatus and scientific instruments used to advance life science research and regenerative medicine at pharmaceutical and biotechnology companies, universities and government laboratories worldwide.",1.18,-,-,NASDAQ,-,3094.01万,-5670.00万,生命科学工具,0.40%,53.12%,2.25
2401,Hudbay Minerals,HBM,US,24.35,-,2.46%,1.44/17.01,-,1.37,-,-,NYSE,-,96.72亿,5.68亿,金属与采矿,1.05%,76.40%,2.99
2402,Hotel101 Global,HBNB,US,6.74,-,0.00%,-/-,-,3.22,-,-,-,-,15.78亿,-1249.53万,酒店餐饮与休闲,0.00%,0.18%,86.41
2403,哈里逊合众银行,HBNC,US,17.83,-,2.11%,-3.24/-,-,0.17,-,-,NASDAQ,-,9.10亿,2616.80万,商业银行,0.83%,78.55%,1.3
2404,HBT Financial,HBT,US,28.16,-,1.16%,2.44/13.31,-,0.25,-,-,-,-,10.25亿,7700.80万,商业银行,0.35%,20.33%,1.67
2405,HCA Healthcare,HCA,US,432.46,-,6.20%,28.7/14.25,-,-8.77,-,-,NYSE,-,966.85亿,67.84亿,医疗保健服务,2.19%,60.94%,-
2406,Hall Chadwick,HCAC,US,9.95,-,0.20%,0.08/445,-,-0.1,-,-,NASDAQ,-,2.91亿,65.29万,资本市场,0.05%,0.07%,1.45
2407,华谌科技,HCAI,US,8.38,-,5.99%,0.04/84.19,-,-6.16,-,-,-,-,974.17万,81.59万,机械制造,6.71%,0.38%,0.415
2408,Health Catalyst,HCAT,US,1.38,-,8.27%,-2.55/-,-,3.76,-,-,-,-,1.02亿,-1.78亿,专业服务,0.57%,75.29%,0.413
2409,Warrior Met Coal,HCC,US,86.66,-,3.48%,1.08/80.28,"HCC Insurance Holdings, Inc. is a leading international Specialty Insurance group with offices across the United States and in the United Kingdom, Spain and Ireland.",-2.21,-,-,NYSE,-,45.76亿,5699.80万,石油与天然气,1.62%,98.74%,2.14
2410,Happy City,HCHL,US,1.55,-,16.07%,-0.13/-,-,10.71,-,-,-,-,4614.66万,-242.94万,酒店餐饮与休闲,-,0.61%,20.95
2411,HCI集团,HCI,US,156.84,-,4.28%,24.58/6.81,-,2.16,-,-,NYSE,-,20.38亿,2.99亿,保险,1.71%,79.32%,1.96
2412,Hennessy Capital VII,HCIC,US,9.89,-,0.00%,0.0000/-,-,0.1,-,-,-,-,3.51亿,-4.45万,资本市场,0.00%,-,-
2413,哈克特服务,HCKT,US,12.98,-,6.03%,0.47/25.29,"The Hackett Group (NASDAQ: HCKT), a global strategic business advisory, operations consulting and finance strategy firm, is a leader in business best practices, business benchmarking, and transformation consulting services including strategy and operations, working capital management, and globalization advice.",2.93,-,-,NASDAQ,-,3.27亿,1294.30万,专业服务,1.34%,85.71%,4.81
2414,和黄医药,HCM,US,14,http://www.chi-med.com,2.80%,0.53/5.35,"Hutchison China MediTech Limited (""Chi-Med"") is a China-based globally-focused healthcare group which researches, develops, manufactures and sells pharmaceuticals and health-related consumer products.",0.94,S1/F1,+852-21281188,NASDAQ,-,24.43亿,4.57亿,制药,0.01%,2.98%,1.97
2415,HCM III,HCMA,US,10.15,-,0.10%,0.1/156.1,-,0.1,-,-,-,-,3.42亿,219.30万,资本市场,0.00%,89.36%,1.4
2416,医疗保健服务,HCSG,US,22.42,-,5.80%,0.82/22.77,-,3.99,-,-,NASDAQ,-,15.46亿,2606.00万,商业服务与用品,1.46%,102.21%,3.01
2417,Healthcare Triangle,HCTI,US,2.19,-,8.00%,-152.3/-,-,-2.67,-,-,-,-,430.90万,-947.60万,软件,8.61%,0.19%,1.69
2418,HCW Biologics,HCWB,US,0.376,-,8.56%,-10.63/-,-,-8.07,-,-,-,-,253.20万,-2229.87万,制药,8.87%,6.06%,0.915
2419,Healthy Choice,HCWC,US,0.268,-,5.17%,-0.24/-,-,-1.11,-,-,-,-,609.72万,-393.58万,医疗保健设备,-,2.34%,0.835
2420,家得宝,HD,US,335.89,http://www.homedepot.com,1.64%,14.26/23.63,家得宝（HD）创立于1978年，是全球最大的家具建材零售商。家得宝销售各类建筑材料、家居用品和草坪花园产品，而且提供各类相关服务。,-1.26,-,-,NYSE,-,3345.56亿,141.56亿,专营零售,0.33%,72.68%,26.11
2421,HDFC银行,HDB,US,25.65,-,0.98%,0.53/16.15,"HDFC Bank was incorporated in August 1994, and, currently has an nationwide network of 2000 Branches and 5,624 ATM's in 
996 Indian towns and cities.",0.55,-,-,NYSE,-,1308.53亿,81.03亿,商业银行,0.11%,13.22%,2.1
2422,海底捞,HDL,US,13.77,-,1.62%,0.06/24.58,-,-3.03,-,-,-,-,8.95亿,3642.90万,酒店餐饮与休闲,-,0.05%,2.3
2423,哈德森科技,HDSN,US,6.3,-,1.57%,0.38/16.05,"Hudson Technologies is a company based on superior engineering and chemistry know-how to solve problems related to refrigerants and their effect on chiller performance. Hudson focuses solely on the relationship of refrigerants, oil and contaminants to the operation of chiller and refrigerant systems, leaving machinery service and maintenance to mechanical contractors.",-0.79,-,-,NASDAQ,-,2.68亿,1666.70万,化学制品,0.42%,79.11%,1.1
2424,夏威夷电力,HE,US,15.26,-,3.22%,0.71/21.4,"Hawaiian Electric Industries, Inc. (HEI) supplies power to 95% of Hawaii's population through its electric utilities, Hawaiian Electric Company, Inc., Hawaii Electric Light Company, Inc. and Maui Electric Company, Limited, and provides a wide range of financial services to individuals and businesses through American Savings Bank, F.S.B., one of Hawaii’s largest financial institutions.",-0.78,-,-,NYSE,-,26.34亿,1.23亿,电力,0.83%,80.47%,1.68
2425,海科航空,HEI,US,264.04,-,2.55%,1.36/51.69,-,-1.75,-,-,NYSE,-,368.38亿,1.90亿,航空航天与国防,1.12%,72.59%,8.18
2426,海科航空 A,HEI.A,US,203.85,-,2.41%,1.36/39.91,-,-1.84,-,-,-,-,284.41亿,1.90亿,航空航天与国防,0.27%,48.25%,6.32
2427,海伦特洛伊家电,HELE,US,23.62,-,15.03%,-39.08/-,-,-0.84,-,-,NASDAQ,-,5.49亿,-8.99亿,个人用品,8.44%,98.78%,0.688
2428,Cybin,HELP,US,5.61,-,11.62%,-3.4/-,-,-2.43,-,-,-,-,2.81亿,-1.01亿,制药,4.89%,60.21%,1.02
2429,D-MARKET Electronic,HEPS,US,2.79,-,1.79%,-0.42/-,-,-0.36,-,-,-,-,8.97亿,-1.33亿,多元化零售,-,9.49%,19.11
2430,John Hancock,HEQ,US,11.61,-,1.76%,1.56/7.46,-,-0.34,-,-,NYSE,-,1.40亿,1883.34万,资本市场,0.33%,26.80%,0.955
2431,奇梦岛,HERE,US,3.69,-,6.86%,0.23/3.36,-,5.43,-,-,-,-,2.01亿,3806.57万,休闲设备与用品,0.24%,1.54%,1.64
2432,Herzfeld Credit,HERZ,US,16.66,-,3.61%,0.08/-,-,-2.94,-,-,-,-,2816.98万,128.38万,资本市场,0.60%,43.51%,0.676
2433,Hess Midstream,HESM,US,37.34,-,2.63%,2.87/21.98,-,-1.37,-,-,NYSE,-,77.55亿,3.53亿,石油与天然气,1.54%,91.67%,13.65
2434,Home Federal Bancorp,HFBL,US,19.49,-,1.52%,1.09/11.52,-,2.04,-,-,NASDAQ,-,5992.47万,327.40万,商业银行,0.01%,7.32%,1.04
2435,HF Foods,HFFG,US,1.97,-,4.82%,-0.73/-,-,0,-,-,-,-,1.04亿,-3884.30万,经销商,0.25%,21.64%,0.437
2436,Highland,HFRO,US,6.11,-,1.15%,-0.48/-,-,0.16,-,-,-,-,3.38亿,-2681.33万,资本市场,0.05%,53.95%,0.537
2437,Heritage金融银行,HFWA,US,26.47,-,5.67%,1.99/16.17,"Heritage Bank has been creating financial solutions for the needs of our neighbors since 1927. We are known as the ""quality bank"" because our staff works together as a team, focused on building lasting relationships to help customers reach their financial goals. We are dedicated to exceeding customers' expectations. Combine this with a devoted focus on giving back to the communities through contributions and staff volunteer efforts, and you have exactly what customers and communities deserve from their local bank.",-4.44,-,-,NASDAQ,-,10.92亿,1894.70万,商业银行,1.37%,72.15%,0.979
2438,Hamilton Insurance,HG,US,32.67,-,1.40%,5.75/5.63,-,-0.03,-,-,-,-,32.49亿,5.77亿,保险,0.52%,77.15%,1.15
2439,Heritage Global,HGBL,US,1.41,-,3.65%,0.1/13.65,-,2.92,-,-,-,-,4897.60万,358.70万,资本市场,0.19%,39.33%,0.731
2440,高地全球配置基金,HGLB,US,8.16,-,4.23%,2.9/2.82,-,-1.33,-,-,-,-,1.91亿,6774.66万,资本市场,0.56%,26.34%,0.608
2441,Hagerty,HGTY,US,10.7,-,1.32%,0.41/88.42,-,0.85,-,-,-,-,36.66亿,4146.30万,保险,0.09%,85.74%,11.9
2442,希尔顿分时度假俱乐部,HGV,US,46.13,-,1.98%,0.9/46.28,-,0.13,-,-,NYSE,-,37.48亿,8100.00万,酒店餐饮与休闲,0.98%,109.52%,2.91
2443,Howard Hughes,HHH,US,64.07,-,1.41%,2.22/28.97,-,0,-,-,-,-,38.21亿,1.32亿,住宅房地产投资信托,0.74%,87.05%,1.32
2444,哈特-汉克斯,HHS,US,2.76,-,0.00%,-0.11/-,-,1.47,-,-,NYSE,-,2046.48万,-81.10万,媒体,0.01%,30.03%,1.03
2445,欣厄姆银行,HIFS,US,284.8,-,3.15%,15.51/13.75,-,0.02,-,-,NASDAQ,-,6.21亿,3383.30万,商业银行,2.11%,69.33%,1.35
2446,哈特福德保险,HIG,US,134.45,-,3.27%,3.08/9.12,哈特福德金融集团(HIG)是美国最大的保险和金融服务公司之一。集团在汽车和家庭保险、商家财产、伤亡保险、再保险及各种各样的人寿保险、投资产品、职工利益、养老退休计划和慈善机构的债务资金业务始终处于领先地位。,-3.7,-,-,NYSE,-,368.57亿,8.51亿,保险,0.93%,93.55%,1.99
2447,骇维金属加工,HIHO,US,0.831,-,3.65%,-0.09/-,-,0.97,-,-,NASDAQ,-,382.41万,-42.70万,机械制造,0.60%,4.08%,0.651
2448,亨廷顿英戈尔斯工业,HII,US,359.29,-,4.33%,15.39/23.38,-,-2.93,-,-,NYSE,-,141.48亿,6.05亿,航空航天与国防,1.43%,93.45%,2.79
2449,Hims & Hers Health,HIMS,US,30.56,-,8.63%,0.57/54.27,-,8.56,-,-,-,-,69.66亿,1.28亿,医疗保健服务,21.08%,83.71%,12.88
2450,奇景光电,HIMX,US,12.09,http://www.himax.com.tw,9.97%,0.13/48,奇景光电（Himax Technologies Inc）是一家专精各种 TFT-LCD 相关应用的平面显示器之积体电路的研发、设计、制造管理与销售的半导体厂商。,10.61,-,-,NASDAQ,-,21.09亿,4393.70万,半导体产品与设备,2.42%,9.67%,2.36
2451,Vyome,HIND,US,2.21,-,4.96%,-4.86/-,-,-2.21,-,-,-,-,1551.09万,-1026.20万,制药,1.11%,1.34%,6.35
2452,Western Asset High I,HIO,US,3.67,-,0.82%,0.28/13.34,-,0.82,-,-,NYSE,-,3.49亿,2616.22万,资本市场,0.27%,31.89%,0.9
2453,Hippo Holdings,HIPO,US,28.72,-,2.60%,2.28/12.96,-,0.84,-,-,-,-,7.48亿,5770.00万,保险,0.28%,49.09%,1.71
2454,Health In Tech,HIT,US,1.51,-,6.62%,0.02/70.8,-,0,-,-,-,-,9053.70万,127.88万,保险,1.30%,6.09%,5.3
2455,High Tide,HITI,US,2.47,-,5.42%,0.01/-,-,2.92,-,-,-,-,2.17亿,88.88万,专营零售,0.71%,12.73%,3.33
2456,HIVE Digital,HIVE,US,2.52,-,8.66%,-0.33/-,-,-0.79,-,-,NYSE,-,6.38亿,-7210.80万,软件,6.42%,32.11%,1.14
2457,海伍兹物业,HIW,US,23.89,-,1.86%,1.45/16.75,-,0.97,-,-,NYSE,-,26.34亿,1.57亿,写字楼房地产投资信托,0.82%,104.90%,1.12
2458,Western Asset High,HIX,US,3.96,-,1.27%,0.4/9.14,-,0.51,-,-,NYSE,-,3.57亿,3635.62万,资本市场,0.52%,19.28%,0.906
2459,尚乘数科,HKD,US,1.75,-,9.47%,0.44/10.05,-,3.55,-,-,-,-,5.50亿,5470.50万,软件,0.11%,0.65%,2.07
2460,海天网络,HKIT,US,0.99,-,20.50%,-0.03/-,-,-1,-,-,-,-,867.38万,-91.61万,信息技术服务,23.71%,0.29%,0.251
2461,生研生物,HKPD,US,0.644,-,12.52%,0.01/-,-,3.37,-,-,-,-,1513.40万,15.37万,医疗保健服务,-,0.78%,2.94
2462,赫克拉矿业,HL,US,18.8,-,4.10%,0.49/39.25,-,2.01,-,-,NYSE,-,126.07亿,3.21亿,金属与采矿,1.47%,69.68%,4.86
2463,康宝莱,HLF,US,16.58,http://www.Herbalife.com,2.94%,2.22/7.51,Herbalife Ltd.康宝莱，一个主要销售减肥瘦身产品、营养保健品、能量饮料、体育健身产品和个人皮肤护理品的著名直销企业，另外还销售一些宣传音像制品，其中以健康瘦身类保健品起家并为人们所熟知。公司于1980年在开曼群岛注册成立，总部在美国洛杉矶，在多数国家实行“直销”模式。据2012年7月统计，康宝莱业务遍及全球84个国家和地区，拥有270 万的直销员网络。公司的主要收入来源于六个地区：北美，墨西哥，中南美州，欧洲、中东、非洲，亚太地区和中国。,2.47,-,-,NYSE,-,17.15亿,2.28亿,医疗保健服务,0.97%,100.48%,-
2464,华利安,HLI,US,158,-,1.57%,4.89/24.62,-,-0.17,-,-,NYSE,-,110.26亿,3.26亿,资本市场,0.51%,103.69%,4.81
2465,Helios Technologies,HLIO,US,68.16,-,2.77%,1.46/46.62,-,-0.23,-,-,-,-,22.57亿,4840.00万,机械制造,1.15%,97.85%,2.42
2466,谐波,HLIT,US,10.56,-,2.51%,-0.38/-,-,1.25,-,-,-,-,11.64亿,-4331.00万,通信设备,0.65%,89.80%,3.04
2467,Holley,HLLY,US,3.41,-,2.97%,0.16/21.51,-,1.19,-,-,-,-,4.12亿,1917.50万,汽车零配件,0.50%,59.09%,0.919
2468,Hillman Solutions,HLMN,US,8.81,-,2.41%,0.2/42.89,-,-1.34,-,-,-,-,17.29亿,4030.50万,耐用消费品,1.00%,107.28%,1.41
2469,Haleon,HLN,US,9.58,-,0.89%,0.25/19.02,-,0.52,-,-,-,-,426.25亿,22.42亿,医疗保健服务,0.13%,6.39%,1.93
2470,Hamilton Lane,HLNE,US,94.84,-,9.63%,4.4/22.65,-,-8.07,-,-,NASDAQ,-,52.90亿,1.83亿,资本市场,6.22%,95.34%,6.03
2471,宏力型钢,HLP,US,0.9,-,3.78%,0.01/65.39,-,0,-,-,-,-,6609.49万,99.00万,机械制造,0.04%,0.26%,1.19
2472,希尔顿酒店,HLT,US,335.63,http://www.hilton.com/,1.71%,6.18/52.7,Hilton Worldwide Holdings Inc.是全球最大的，发展最快的酒店公司之一，在全球有4115家酒店，度假村和分时度假物业，包括在91个国家和地区的678630个房间。在其成立以来的近100年内，该公司定义了酒店业，并建立了10个世界级品牌组合。该公司的全方位服务旗舰品牌，希尔顿酒店及度假村，是世界上最知名的酒店品牌。该公司的优质品牌产品组合还包括其豪华酒店品牌，华尔道夫酒店及度假村和康莱德酒店及度假村；其全套服务酒店品牌，希尔顿逸林酒店和希尔顿尊盛酒店；其重点服务酒店品牌，希尔顿花园客栈，汉普顿酒店，希尔顿欣庭酒店和Home2 Suites by Hilton酒店；及其分时品牌，希尔顿度假。超过314000个团队成员自豪地服务于该公司世界各地的物业和办公室，并拥有大约40万成员在该公司的殊荣客户忠诚度计划，希尔顿荣誉客会。该公司通过三个分部经营其业务：（1）管理和特许经营；（2）所有权；（3）分时。这些互补的业务分部使公司能够充分利用其强大的品牌，全球市场的占有率和显著的经营规模。通过其管理和特许经营业务分部（其中包括3918家酒店的610413间客房），该公司管理着由第三方拥有的酒店，度假村和分时度假酒店。该公司有权将其品牌授权给加盟商。希尔顿全球控股有限公司于2010年3月18日在美国特拉华州注册成立。,0.4,S1/F1,-,NYSE,-,767.91亿,14.57亿,酒店餐饮与休闲,0.67%,99.13%,-
2473,螺旋能源,HLX,US,9.89,-,4.38%,0.21/101.5,-,1.96,-,-,NYSE,-,14.57亿,-1340.60万,能源设备与服务,3.12%,86.88%,0.936
2474,Helix Acquisition II,HLXC,US,-,-,-,-0.01/-,-,-,-,-,-,-,2.27亿,-5.15万,资本市场,0.00%,-,-
2475,本田,HMC,US,24.34,-,0.90%,0.74/9.98,本田技研工业株式会社成立于1948年。公司总部在日本东京，注册资金为860亿日元，目前全球雇员总数达18万人以上。Honda在全球29个国家和地区拥有130个以上的生产基地，产品包括摩托车、汽车和通用产品等，是全球最大的摩托车厂家，汽车的产量和规模也排名世界十大厂家之列。,-0.57,-,-,NYSE,-,315.82亿,29.68亿,汽车,0.11%,3.60%,0.397
2476,HMH Holding,HMH,US,20.13,-,3.22%,-/19.09,-,-0.4,-,-,-,-,8.68亿,4545.40万,能源设备与服务,-,-,1.24
2477,霍勒斯曼恩,HMN,US,45.54,-,1.69%,3.93/11.34,-,-1.56,-,-,NYSE,-,18.39亿,1.62亿,保险,0.36%,102.06%,1.24
2478,Heidmar Maritime,HMR,US,0.82,-,3.46%,-0.39/-,-,1.23,-,-,-,-,4788.49万,-2256.11万,海运,0.35%,0.22%,4.48
2479,哈莫尼黄金,HMY,US,16.77,-,3.50%,0.94/10.65,-,3.01,-,-,NYSE,-,104.78亿,5.89亿,金属与采矿,0.60%,18.76%,3.34
2480,Hinge Health,HNGE,US,44.29,-,3.12%,-7.77/-,-,2.43,-,-,-,-,34.27亿,-4.24亿,医疗保健技术,1.78%,91.64%,9.05
2481,HNI,HNI,US,37.7,-,2.39%,1.13/50.08,-,1.32,-,-,NYSE,-,27.14亿,5420.00万,商业服务与用品,0.48%,81.33%,1.48
2482,Hennessy Advisors,HNNA,US,9.865,-,1.71%,0.24/8.6,-,-0.65,-,-,NASDAQ,-,7785.63万,193.00万,资本市场,0.02%,13.99%,0.787
2483,Hallador Energy,HNRG,US,15.97,-,2.73%,0.98/17.98,-,0.19,-,-,NASDAQ,-,7.53亿,4187.10万,石油与天然气,2.32%,68.13%,4.71
2484,The Honest,HNST,US,3.57,-,5.38%,-0.14/-,-,3.78,-,-,-,-,4.01亿,-1568.60万,专营零售,2.44%,43.48%,2.36
2485,Hanover Bancorp,HNVR,US,22.36,-,0.22%,1.01/21.37,-,-0.04,-,-,-,-,1.60亿,748.80万,商业银行,0.07%,28.25%,0.82
2486,胡克家具,HOFT,US,12.68,-,11.79%,-2.54/-,-,1.04,-,-,NASDAQ,-,1.37亿,-2696.70万,耐用消费品,0.71%,71.88%,0.808
2487,哈雷戴维森,HOG,US,23.11,http://www.harley-davidson.com,1.88%,2.82/7.44,哈雷戴维森（Harley-Davidson Inc）是知名的摩托车制造商。,-1.15,-,-,NYSE,-,25.21亿,3.39亿,汽车,3.74%,98.54%,0.803
2488,盟云全息,HOLO,US,1.92,-,7.53%,-0.57/-,-,-1.03,-,-,-,-,4399.17万,-753.80万,信息技术服务,5.26%,1.47%,0.114
2489,Home Bancshares,HOMB,US,26.46,-,1.55%,2.41/10.86,-,-1.34,-,-,NASDAQ,-,51.97亿,1.18亿,商业银行,1.16%,71.50%,1.19
2490,霍尼韦尔,HON,US,213.17,http://www.honeywell.com,2.28%,1.29/29.94,霍尼韦尔（HON）是一家年收入超过200亿美元，在多元化技和制造业方面占世界领导地位的跨国公司，连续50年位列《财富》500强排行榜。在全球，其业务涉及航空产品及服务；住宅及楼宇控制和工业控制技术；自动化产品；特种化学、纤维、塑料、电子和先进材料、以及交通和动力系统及产品等领域。,-0.55,-,-,NYSE,-,1350.76亿,8.21亿,工业集团企业,0.73%,77.75%,9.94
2491,Robinhood Markets,HOOD,US,84.71,-,2.68%,2.12/40.53,-,1.4,-,-,-,-,763.10亿,18.83亿,资本市场,2.74%,72.30%,8.35
2492,Hope Bancorp,HOPE,US,12.43,-,2.07%,0.49/25.82,-,-1.04,-,-,NASDAQ,-,15.90亿,6158.80万,商业银行,0.75%,89.97%,0.697
2493,Hoth Therapeutics,HOTH,US,0.81,-,6.52%,-0.9/-,-,1.5,-,-,-,-,1549.34万,-1246.93万,制药,2.61%,5.20%,2.52
2494,Hour Loop,HOUR,US,2.06,-,6.50%,0.05/42.51,-,3,-,-,-,-,7247.88万,170.48万,多元化零售,0.62%,0.32%,10.35
2495,霍夫纳尼安,HOV,US,117.13,-,4.12%,2.8/15.17,-,-2.29,-,-,NYSE,-,6.96亿,1819.00万,耐用消费品,2.36%,64.02%,0.993
2496,New Horizon Aircraft,HOVR,US,1.91,-,7.87%,-0.47/-,-,7.3,-,-,-,-,8645.30万,-1940.43万,航空航天与国防,2.22%,2.79%,15.04
2497,Werewolf,HOWL,US,0.813,-,10.00%,-1.32/-,-,-5.47,-,-,-,-,3950.92万,-6082.20万,制药,0.43%,38.99%,1.59
2498,赫尔默里奇和佩恩材料,HP,US,38.36,-,2.77%,-0.98/-,-,2.08,-,-,NYSE,-,38.30亿,-9670.60万,能源设备与服务,1.38%,98.67%,1.47
2499,Helport AI,HPAI,US,1.6,-,6.49%,0.05/32.41,-,3.9,-,-,-,-,6023.51万,185.86万,软件,0.03%,0.51%,3.45
2500,慧与,HPE,US,28.16,http://www.hpe.com,3.19%,0.32/-,慧与公司于2015年2月25日在美国特拉华州注册成立，具有惠普公司的技术设施，软件，服务和融业务等基础。惠普企业是供应的尖端处理技术处于全球领先地位，其公司帮助客户优化自身的传统IT，同时帮助他们建立特有的符合客户需求、安全的可移动云端系统。,0.82,-,-,NYSE,-,373.64亿,4.23亿,电脑与外围设备,0.84%,91.47%,1.51
2501,John Hancock Preferr,HPF,US,15.85,-,1.01%,0.82/12.22,-,0.13,-,-,NYSE,-,3.43亿,1774.89万,资本市场,0.07%,11.35%,0.993
2502,John Hancock Preferr,HPI,US,16.11,-,0.87%,0.81/12.49,-,0.19,-,-,NYSE,-,4.31亿,2177.46万,资本市场,0.15%,13.47%,1
2503,HighPeak Energy,HPK,US,6.23,-,4.09%,0.13/41.51,-,-0.16,-,-,-,-,7.87亿,1896.30万,石油与天然气,2.37%,20.69%,0.494
2504,Hudson Pacific,HPP,US,8.48,-,5.19%,-12.81/-,"It is a full-service, vertically integrated real estate company focused on owning, operating and acquiring high-quality office properties in select growth markets primarily in Northern and Southern California. Our investment strategy is focused on high barrier-to-entry, in-fill locations with favorable, long-term supply-demand characteristics. These markets include Los Angeles, Orange County, San Diego, San Francisco, Silicon Valley and the East Bay.",2.29,-,-,NYSE,-,4.60亿,-5.72亿,写字楼房地产投资信托,1.67%,113.45%,0.181
2505,惠普,HPQ,US,19.79,-,4.79%,0.59/7.21,惠普（HPQ）是全球性的资讯科技公司，总部在美国，竞争对手有IBM和Dell。主要业务是生产打印机、数码影像、软件、计算机与资讯服务等。2002年收购了美国著名的电脑公司康柏电脑。中国惠普有限公司总部位于北京，在上海等九座城市都设有分公司。,-1.74,-,-,NYSE,-,180.99亿,5.45亿,电脑与外围设备,1.89%,87.93%,-
2506,John Hancock Preferr,HPS,US,14.62,-,1.13%,0.74/12.45,-,0.14,-,-,NYSE,-,4.70亿,2372.08万,资本市场,0.11%,13.12%,1.02
2507,Horizon Quantum,HQ,US,11.37,-,8.00%,-83872/-,-,-1.13,-,-,-,-,5.86亿,-8.39万,软件,0.25%,0.09%,-
2508,Abrdn Healthcare Inv,HQH,US,19.27,-,2.06%,1.83/11.18,-,-0.77,-,-,NYSE,-,11.02亿,9861.33万,资本市场,0.17%,22.98%,1.01
2509,HireQuest,HQI,US,11.06,-,6.68%,0.45/24.46,-,5.53,-,-,-,-,1.55亿,633.00万,专业服务,0.24%,11.63%,2.27
2510,Abrdn Life Sciences,HQL,US,17.27,-,1.61%,2.89/6.14,-,-0.8,-,-,NYSE,-,5.25亿,8559.43万,资本市场,0.16%,29.43%,1.02
2511,Healthequity,HQY,US,82.45,http://www.healthequity.com,6.91%,2.5/32.37,"HealthEquity is a leader and an innovator in the high-growth category of technology-enabled services platforms that empower consumers to make healthcare saving and spending decisions. Our platform provides an ecosystem where consumers can access their tax-advantaged healthcare savings, compare treatment options and pricing, evaluate and pay healthcare bills, receive personalized benefit and clinical information, earn wellness incentives, and make educated investment choices to grow their tax-advantaged healthcare savings.",6.05,S1/F1,-,NASDAQ,-,69.65亿,2.15亿,医疗保健服务,0.97%,107.89%,3.31
2512,医疗保健房地产信托,HR,US,18.71,-,1.78%,-0.71/-,-,0.65,-,-,NYSE,-,64.84亿,-2.46亿,医疗保健房地产投资信托,1.07%,110.26%,1.4
2513,HR布洛克服务,HRB,US,30.26,-,5.19%,-3.17/6.25,-,-2.42,-,-,NYSE,-,38.36亿,-4.08亿,综合消费者服务,2.17%,92.58%,-
2514,Herc Holdings,HRI,US,122.45,-,4.92%,0.03/4086,-,0.82,-,-,NYSE,-,40.86亿,100.00万,贸易与经销,2.30%,106.25%,2.1
2515,荷美尔食品,HRL,US,21.55,-,2.62%,0.33/24.23,-,-0.97,-,-,NYSE,-,118.59亿,1.82亿,食品,1.52%,44.60%,1.49
2516,Harmony,HRMY,US,30.8,-,4.22%,2.76/11.23,-,-3.99,-,-,-,-,17.82亿,1.59亿,制药,1.85%,88.02%,2.05
2517,Harrow,HROW,US,39.7,-,5.21%,-0.14/-,-,2.45,-,-,-,-,14.78亿,-513.90万,制药,1.61%,60.34%,28.18
2518,Heritage Insurance,HRTG,US,29.27,http://www.heritagepci.com,7.62%,6.33/4.6,"Heritage Insurance Holdings is a property and casualty insurance holding company headquartered in Clearwater, Florida and, through our insurance subsidiary, Heritage P&C, we provide personal residential insurance for single-family homeowners and condominium owners in Florida. We began operations in August 2012 and wrote our first policy in November 2012. In December 2012, we began selectively assuming policies from Citizens through participation in a legislatively established depopulation program, which is designed to reduce the state’s risk exposure by encouraging private insurance companies to assume Citizens’ policies. Once Citizens informs us which policies we may assume, we notify each policyholder of our offer to assume their policy, the amount of their estimated premium upon renewal and their right to elect not to participate in, or “opt-out” of, the assumption transaction. Citizens transfers to us the unearned premiums as of the effective date of the assumption transaction for the policies that have not opted out of such transaction. A policyholder may also opt-out during the 30-day period following the effective date of the assumption transaction. If a policyholder opts-out during such period, we return the applicable unearned premiums to Citizens. See “Business—Citizens Assumption Transactions.”",4.65,S1/F1,-,NYSE,-,8.99亿,1.96亿,保险,1.87%,61.73%,1.78
2519,Heron Therapeutics,HRTX,US,1.19,-,25.00%,-0.12/-,-,19,-,-,NASDAQ,-,2.24亿,-2019.50万,制药,3.28%,83.21%,17
2520,Horizon Technology,HRZN,US,3.88,-,4.09%,-0.06/-,-,-3.72,-,-,NASDAQ,-,2.65亿,-266.10万,资本市场,2.89%,13.81%,0.83
