ts_code,breakthrough_date,breakthrough_price,max_drawdown,max_gain,success,final_gain
sz301601,20250718,34.89,3.3,2.21,False,-0.92
sz002024,20240919,1.38,0.0,18.84,False,15.94
sz200011,20240802,3.64,5.49,3.57,False,-2.47
sz301366,20250725,37.7,0.37,18.57,False,14.91
sz300585,20240813,12.26,8.65,4.32,False,-4.4
sz000603,20240930,12.98,6.01,18.1,False,1.69
sz002543,20240930,10.03,12.18,5.98,False,-10.19
sz399239,20240925,1222.2,0.57,47.32,True,47.32
sz300919,20250718,33.46,1.73,4.57,False,3.65
sz000050,20240927,7.37,0.68,24.02,True,15.88
sz000403,20250317,16.65,2.31,16.45,False,10.68
sz002110,20240926,3.31,5.74,9.67,False,4.53
sz002922,20250724,16.92,4.55,21.1,True,20.39
sz000919,20240806,6.5,12.92,2.31,False,-11.08
sz301128,20250703,49.29,3.06,16.25,False,16.25
sz300198,20240925,1.44,1.39,71.53,True,63.89
sz300051,20240927,7.88,4.19,26.9,True,12.18
sz003027,20251215,19.67,4.58,17.69,False,12.61
sz300602,20240821,15.06,10.62,3.25,False,-8.56
sz001367,20251031,23.88,7.87,0.5,False,-3.6
sz300784,20250721,54.83,3.25,1.95,False,1.95
sz301586,20250901,54.07,8.8,0.72,False,0.72
sz300365,20240830,5.23,14.15,36.14,True,36.14
sz002439,20240930,17.19,9.02,10.01,False,-0.64
sz300863,20260324,50.98,6.83,17.91,False,17.14
sz000957,20240927,10.0,4.0,13.6,False,6.1
sz300032,20240815,3.73,17.96,7.24,False,-10.72
sz002209,20240806,8.37,13.03,0.0,False,-6.69
sz300555,20240805,6.09,5.25,3.61,False,-3.45
sz002593,20240930,3.13,8.31,4.15,False,-0.64
sz300281,20240910,4.57,9.63,52.52,True,17.94
sz002247,20240801,1.46,4.11,6.85,False,4.79
sz002941,20250625,11.17,2.06,15.76,False,9.22
sz300987,20251104,18.61,7.58,0.16,False,-3.92
sz000698,20240930,3.25,9.85,7.08,False,3.08
sz000751,20240927,2.81,0.0,13.52,False,13.17
sz301234,20251210,43.91,8.49,8.52,False,8.52
sz300117,20241022,1.43,4.9,67.13,True,-1.4
sz002176,20240930,8.6,14.88,8.72,False,-5.0
sz300805,20250630,11.0,4.91,3.27,False,1.73
sz000931,20240806,4.11,8.27,0.0,False,-5.6
sz399642,20240927,1541.24,0.0,16.99,False,11.9
sz002138,20240927,25.56,0.0,14.04,False,9.15
sz300037,20240830,32.12,11.3,37.52,True,37.52
sz300533,20240930,17.05,13.26,13.08,False,-0.88
sz000581,20240731,15.79,8.49,0.0,False,-6.21
sz002708,20240930,8.16,10.91,36.4,True,29.29
sz002221,20240926,8.72,3.44,11.24,False,1.26
sz300828,20250912,16.61,8.43,1.32,False,-5.3
sz002927,20250627,14.19,0.21,19.24,False,18.25
sz002746,20240927,5.5,4.0,9.09,False,2.73
sz301163,20251124,27.42,19.22,3.83,False,-4.08
sz002546,20240927,3.34,0.0,26.35,True,19.46
sz002315,20240927,26.15,2.1,18.74,False,9.98
sz300449,20240813,4.41,1.13,7.94,False,7.94
sz399692,20240927,2839.86,0.0,30.57,True,14.33
sz301057,20260408,32.59,4.88,0.0,False,-1.41
sz399975,20240924,618.55,0.0,43.49,True,30.86
sz002672,20240927,3.92,0.0,35.2,True,25.51
sz300407,20240828,7.49,2.8,18.96,False,18.96
sz300254,20240805,8.68,10.71,5.07,False,-6.22
sz300160,20240927,4.81,0.0,25.78,True,17.46
sz001256,20250627,21.64,2.82,4.34,False,4.34
sz002812,20240930,34.21,10.32,10.0,False,1.64
sz301019,20250624,16.17,1.92,10.26,False,8.09
sz300464,20240819,3.9,15.38,14.62,False,-6.92
sz300237,20240805,1.31,6.11,6.87,False,1.53
sz000078,20240806,2.42,11.16,0.83,False,-7.85
sz002871,20240913,8.12,9.98,14.78,False,6.65
sz301629,20250916,164.18,1.31,54.71,True,15.32
sz300698,20251028,44.05,13.71,8.22,False,-9.51
sz000036,20240731,3.05,8.85,0.0,False,-8.85
sz301300,20251020,39.01,2.49,20.74,True,20.74
sz300751,20250813,76.37,3.1,31.22,True,17.86
sz002042,20241008,3.84,16.92,3.64,False,3.64
sz000551,20240826,7.5,8.56,0.33,False,-1.23
sz300084,20240927,5.55,0.0,23.42,True,6.49
sz300455,20240927,11.66,0.0,36.81,True,14.5
sz002493,20240930,10.26,15.5,1.66,False,-7.22
sz300900,20250825,21.8,14.17,0.0,False,-13.21
sz002309,20240820,1.88,9.57,26.6,True,26.6
sz002840,20241128,13.57,7.52,6.56,False,-2.8
sz301182,20250624,35.71,4.31,10.61,False,6.8
sz300887,20251015,8.13,5.41,4.55,False,4.55
sz000007,20240815,4.63,10.15,3.02,False,1.08
sz300381,20240730,6.24,12.5,9.93,False,-10.41
sz300760,20250724,229.41,3.23,5.95,False,5.95
sz002347,20240806,4.34,21.2,0.0,False,-17.28
sz000333,20240731,59.79,7.56,4.28,False,1.96
sz002577,20240815,13.56,9.66,7.96,False,-7.89
sz000819,20240809,15.86,9.08,2.02,False,0.25
sz200025,20240731,3.46,6.93,0.0,False,-3.18
sz002010,20240926,3.86,0.0,18.13,False,7.77
sz000503,20240920,7.58,3.03,120.58,True,110.82
sz002643,20240930,10.27,8.28,10.13,False,0.68
sz300963,20250905,18.61,5.48,41.75,True,41.75
sz399243,20240926,1106.2,0.0,40.21,True,28.16
sz300684,20250703,24.91,2.17,21.76,True,20.47
sz002823,20240924,11.83,1.35,30.1,True,21.78
sz300098,20240905,3.88,11.6,56.7,True,31.19
sz002891,20251110,60.46,11.46,0.0,False,-9.63
sz000963,20240819,29.35,11.58,0.0,False,-10.46
sz300351,20240930,17.74,9.64,15.05,False,0.39
sz300502,20240910,65.83,0.0,68.74,True,45.3
sz002397,20240927,2.24,2.68,17.86,False,12.05
sz300636,20240930,9.19,12.73,10.88,False,-8.27
sz003013,20251128,15.13,8.46,0.79,False,-5.95
sz300065,20240924,6.67,0.6,59.82,True,44.23
sz000703,20240930,6.96,12.63,3.02,False,-9.19
sz301266,20250630,33.43,1.29,10.5,False,4.25
sz300485,20240926,6.82,0.0,30.65,True,15.84
sz002443,20240927,5.49,0.0,20.94,True,7.46
sz002124,20241008,2.39,5.02,38.08,True,38.08
sz000887,20240731,11.93,13.66,0.0,False,-11.9
sz002975,20250624,32.77,0.92,8.01,False,6.09
sz002273,20240913,15.72,6.49,27.86,True,22.13
sz301205,20251020,89.91,1.35,43.96,True,14.35
sz300654,20250717,10.91,1.01,13.75,False,-0.64
sz301456,20250624,24.01,1.5,15.74,False,15.74
sz399813,20240926,4335.97,0.0,38.19,True,38.19
sz002714,20240731,41.42,15.96,2.49,False,-13.81
sz301131,20251021,48.12,1.62,4.72,False,4.01
sz300048,20240927,4.82,0.0,20.12,True,11.41
sz301382,20250625,29.76,3.58,13.68,False,6.96
sz300561,20240731,8.76,16.2,0.0,False,-13.58
sz300834,20251021,22.65,1.1,4.86,False,3.49
sz301418,20251021,36.29,1.27,7.22,False,5.9
sz001330,20250624,5.04,10.52,0.0,False,-5.36
sz002693,20240805,5.28,13.45,44.51,True,44.51
sz002696,20240927,4.31,0.0,21.11,True,16.24
sz399991,20240927,2035.84,0.0,13.19,False,5.24
sz300650,20240801,9.74,9.96,0.72,False,-3.8
sz399676,20240927,2771.44,0.0,22.86,True,10.43
sz000905,20240927,5.87,0.0,12.66,False,8.06
sz301387,20251015,39.46,6.46,4.56,False,-4.92
sz300337,20240815,7.06,0.71,40.37,True,8.36
sz399638,20240925,4352.5,1.05,41.04,True,22.55
sz300184,20240801,4.84,8.47,80.58,True,33.06
sz002425,20240819,3.19,21.0,0.94,False,-21.0
sz002970,20250630,49.0,6.33,2.65,False,-5.18
sz399008,20240927,1164.08,0.0,15.24,False,10.83
sz001318,20250624,12.48,1.12,8.25,False,7.61
sz300549,20240927,14.27,0.0,26.98,True,20.74
sz000155,20240927,10.37,0.0,18.32,False,10.61
sz002215,20240919,7.45,1.34,19.73,False,17.85
sz300480,20240930,14.99,11.34,15.88,False,-2.6
sz301119,20250708,34.93,2.63,22.87,True,13.88
sz001356,20250805,14.95,2.27,1.81,False,0.33
sz300507,20240926,5.33,0.0,38.46,True,29.46
sz002408,20240731,5.22,6.13,0.0,False,-2.49
sz002608,20240930,7.96,9.42,3.64,False,-1.88
sz300154,20240927,5.26,0.0,30.04,True,24.14
sz300433,20240924,15.56,0.0,52.89,True,43.82
sz399415,20240926,5523.92,0.0,14.85,False,4.46
sz300748,20251217,33.05,2.27,16.43,False,14.4
sz002646,20240927,10.42,7.49,11.33,False,-4.13
sz000506,20241023,2.04,0.0,97.55,True,76.47
sz002868,20240930,15.28,9.69,10.41,False,7.07
sz002015,20240930,8.35,12.57,5.87,False,-3.11
sz301063,20250905,26.96,8.38,3.82,False,-1.3
sz000632,20240925,2.92,1.03,30.14,True,25.34
sz300706,20251208,37.4,9.33,2.22,False,2.22
sz002321,20240905,1.69,2.37,21.89,True,9.47
sz300179,20240927,7.0,0.0,24.0,True,13.57
sz002076,20240926,1.71,1.17,26.9,True,26.9
sz000565,20240920,4.36,1.61,23.65,True,23.65
sz002342,20240926,3.12,0.0,16.03,False,11.54
sz002511,20240930,7.89,13.69,2.03,False,-10.27
sz000002,20240925,7.31,1.23,42.0,True,26.13
sz000798,20240808,6.57,5.94,0.0,False,-4.57
sz301187,20250624,26.72,0.82,8.2,False,2.54
sz300137,20240930,4.78,0.0,25.31,True,18.62
sz002845,20240930,13.39,8.36,31.07,True,29.65
sz002038,20240930,7.9,10.89,3.92,False,-7.34
sz300905,20251119,33.59,9.74,0.0,False,-6.82
sz000831,20240927,25.74,3.07,29.6,True,29.6
sz300203,20240731,11.87,14.07,0.0,False,-10.53
sz300648,20240911,18.39,8.59,51.44,True,32.14
sz399989,20240927,6443.84,0.21,26.9,True,4.9
sz002114,20240920,4.84,1.24,23.76,True,18.8
sz000407,20240925,2.75,0.36,20.74,True,14.56
sz301256,20250806,11.04,7.16,7.43,False,-6.88
