ts_code,breakthrough_date,breakthrough_price,consolidation_amplitude,volatility_shrink_ratio,final_gain,success
sh600793,20240926,9.35,17.36,0.9111,5.03,False
sh688348,20250721,44.19,15.23,1.4377,2.2,False
sh603757,20251124,36.05,60.13,0.8004,1.64,False
sh000852,20240927,5136.44,12.68,1.3619,5.46,False
sh688306,20250722,10.32,35.06,0.7466,-1.16,False
sh688032,20250708,104.27,16.17,0.822,-3.14,False
sh600520,20240830,18.17,32.08,0.8005,-2.2,False
sh000061,20250326,176.31,1.1,2.4793,0.14,False
sh688536,20250723,137.38,33.99,0.9314,6.88,False
sh600990,20240731,18.36,67.2,0.8215,-1.31,False
sh603166,20240927,5.03,16.85,0.9671,0.4,False
sh600310,20240926,3.59,27.76,1.1154,11.98,False
sh688051,20251222,39.98,50.71,2.2508,-0.45,False
sh601688,20240906,12.18,13.89,0.4021,-0.33,False
sh603400,20260120,59.45,19.32,0.8456,0.42,False
sh688578,20251215,101.12,22.04,0.8598,1.38,False
sh603955,20241008,9.38,36.98,0.738,-11.3,False
sh603128,20240927,5.61,14.49,1.2003,0.0,False
sh600639,20240925,9.89,13.66,1.6306,17.3,False
sh600025,20250821,9.28,9.59,1.071,-1.4,False
sh600097,20240930,8.72,20.16,1.1729,-5.16,False
sh603367,20251031,21.21,62.93,0.4239,-3.91,False
sh603329,20250916,11.72,15.35,1.0298,-5.89,False
sh688251,20260206,26.83,31.66,0.4458,5.03,False
sh603601,20240927,2.92,14.25,0.9501,1.37,False
sh600743,20240920,1.28,15.96,0.7559,16.41,False
sh600110,20240930,3.81,30.03,2.8677,-6.04,False
sh605011,20250701,23.2,22.84,0.7761,3.19,False
sh688165,20250819,26.7,20.33,0.966,-3.03,False
sh603031,20240930,26.66,22.49,0.6447,-8.51,False
sh603283,20250801,37.89,22.84,0.6152,2.4,False
sh688232,20260112,32.09,14.81,2.5204,-2.09,False
sh688106,20250624,17.71,22.36,0.6252,0.06,False
sh601616,20240801,2.78,26.15,0.5883,0.36,False
sh000155,20240926,2627.37,11.59,1.397,10.57,False
sh603557,20251113,2.85,21.93,1.4895,-9.82,False
sh000966,20240927,6701.54,12.49,1.7029,3.01,False
sh600711,20240930,4.18,62.65,0.3655,-1.2,False
sh605377,20250728,9.22,13.57,1.6176,-4.45,False
sh603000,20240927,21.49,21.16,1.6535,-1.02,False
