ts_code,trade_date,close,pe,pb,ps,total_mv,circ_mv
000001.SZ,20030425,11.89,53.5273,5.9001,6.1373,2313582.5352,1675731.3764
000001.SZ,20030424,11.96,53.8424,5.9349,6.1734,2327203.2902,1685596.9101
000001.SZ,20030423,12.58,60.8371,6.0319,9.424,2447844.2634,1772977.352
000001.SZ,20030422,12.9,62.3846,6.1853,9.6637,2510110.5722,1818076.9349
000001.SZ,20030421,12.67,61.2723,6.075,9.4914,2465356.6628,1785661.6097
000001.SZ,20030418,12.89,62.3363,6.1805,9.6562,2508164.7501,1816667.5729
000001.SZ,20030417,13.46,65.0928,6.4538,10.0832,2619076.6126,1897001.2049
000001.SZ,20030416,13.77,66.592,6.6024,10.3154,2679397.0992,1940691.4258
000001.SZ,20030415,12.52,60.5469,6.0031,9.379,2436169.3305,1764521.1802
000001.SZ,20030414,12.54,60.6437,6.0127,9.394,2440060.9748,1767339.9041
000001.SZ,20030411,12.34,59.6765,5.9168,9.2442,2401144.5319,1739152.6648
000001.SZ,20030410,12.27,59.3379,5.8832,9.1917,2387523.7768,1729287.1311
000001.SZ,20030409,12.39,59.9183,5.9408,9.2816,2410873.6426,1746199.4746
000001.SZ,20030408,12.01,58.0806,5.7586,8.997,2336932.4009,1692643.72
000001.SZ,20030407,12.04,58.2257,5.7729,9.0194,2342769.8674,1696871.8059
000001.SZ,20030404,12.12,58.6125,5.8113,9.0794,2358336.4446,1708146.7016
000001.SZ,20030403,11.84,57.2584,5.677,8.8696,2303853.4244,1668684.5666
000001.SZ,20030402,12.0,58.0322,5.7538,8.9895,2334986.5788,1691234.358
000001.SZ,20030401,11.8,57.065,5.6579,8.8397,2296070.1358,1663047.1187
000001.SZ,20030331,11.79,57.0166,5.6531,8.8322,2294124.3137,1661637.7567
000001.SZ,20030328,11.59,56.0494,5.5572,8.6823,2255207.8707,1633450.5174
000001.SZ,20030327,11.61,56.1462,5.5668,8.6973,2259099.515,1636269.2414
000001.SZ,20030326,11.05,53.438,5.2983,8.2778,2150133.4746,1557344.9713
000001.SZ,20030325,10.98,53.0995,5.2647,8.2254,2136512.7196,1547479.4376
000001.SZ,20030324,11.22,54.2601,5.3798,8.4052,2183212.4512,1581304.1247
000001.SZ,20030321,11.21,54.2118,5.375,8.3977,2181266.629,1579894.7628
000001.SZ,20030320,10.94,52.906,5.2455,8.1954,2128729.431,1541841.9897
000001.SZ,20030319,11.0,53.1962,5.2743,8.2404,2140404.3639,1550298.1615
000001.SZ,20030318,10.8,52.229,5.1784,8.0905,2101487.9209,1522110.9222
000001.SZ,20030317,10.87,52.5675,5.2119,8.143,2115108.676,1531976.456
000001.SZ,20030314,10.88,52.6159,5.2167,8.1505,2117054.4981,1533385.8179
000001.SZ,20030313,10.8,52.229,5.1784,8.0905,2101487.9209,1522110.9222
000001.SZ,20030312,10.85,52.4708,5.2024,8.128,2111217.0317,1529157.732
000001.SZ,20030311,10.82,52.3257,5.188,8.1055,2105379.5652,1524929.6461
000001.SZ,20030310,10.79,52.1806,5.1736,8.083,2099542.0988,1520701.5602
000001.SZ,20030307,11.05,53.438,5.2983,8.2778,2150133.4746,1557344.9713
000001.SZ,20030306,11.08,53.5831,5.3126,8.3003,2155970.9411,1561573.0572
000001.SZ,20030305,11.31,54.6954,5.4229,8.4726,2200724.8505,1593988.3824
000001.SZ,20030304,11.41,55.179,5.4709,8.5475,2220183.072,1608082.0021
000001.SZ,20030303,11.34,54.8404,5.4373,8.4951,2206562.317,1598216.4683
000001.SZ,20030228,11.27,54.5019,5.4037,8.4426,2192941.5619,1588350.9346
000001.SZ,20030225,11.07,53.5347,5.3078,8.2928,2154025.1189,1560163.6953
000001.SZ,20030224,10.85,52.4708,5.2024,8.128,2111217.0317,1529157.732
000001.SZ,20030221,10.92,52.8093,5.2359,8.1804,2124837.7867,1539023.2658
000001.SZ,20030220,11.27,54.5019,5.4037,8.4426,2192941.5619,1588350.9346
000001.SZ,20030219,11.31,54.6954,5.4229,8.4726,2200724.8505,1593988.3824
000001.SZ,20030218,11.18,54.0667,5.3606,8.3752,2175429.1626,1575666.6769
000001.SZ,20030217,11.21,54.2118,5.375,8.3977,2181266.629,1579894.7628
000001.SZ,20030214,11.33,54.7921,5.4325,8.4876,2204616.4948,1596807.1063
000001.SZ,20030213,11.24,54.3568,5.3894,8.4202,2187104.0955,1584122.8487
000001.SZ,20030212,11.42,55.2273,5.4757,8.555,2222128.8942,1609491.364
000001.SZ,20030211,11.38,55.0339,5.4565,8.525,2214345.6056,1603853.9162
000001.SZ,20030210,11.31,54.6954,5.4229,8.4726,2200724.8505,1593988.3824
000001.SZ,20030129,11.63,56.2429,5.5764,8.7123,2262991.1593,1639087.9653
000001.SZ,20030128,11.59,56.0494,5.5572,8.6823,2255207.8707,1633450.5174
000001.SZ,20030127,11.57,55.9527,5.5476,8.6674,2251316.2264,1630631.7935
000001.SZ,20030124,11.37,54.9855,5.4517,8.5175,2212399.7834,1602444.5542
000001.SZ,20030123,11.17,54.0183,5.3558,8.3677,2173483.3404,1574257.3149
000001.SZ,20030122,11.19,54.115,5.3654,8.3827,2177374.9847,1577076.0388
000001.SZ,20030121,11.21,54.2118,5.375,8.3977,2181266.629,1579894.7628
000001.SZ,20030120,11.55,55.856,5.538,8.6524,2247424.5821,1627813.0696
000001.SZ,20030117,11.39,55.0822,5.4613,8.5325,2216291.4277,1605263.2781
000001.SZ,20030116,11.37,54.9855,5.4517,8.5175,2212399.7834,1602444.5542
000001.SZ,20030115,11.2,54.1634,5.3702,8.3902,2179320.8069,1578485.4008
000001.SZ,20030114,11.44,55.324,5.4852,8.57,2226020.5385,1612310.088
000001.SZ,20030113,10.4,50.2946,4.9866,7.7909,2023655.035,1465736.4436
000001.SZ,20030110,10.53,50.9233,5.0489,7.8883,2048950.7229,1484058.1491
000001.SZ,20030109,10.69,51.697,5.1256,8.0081,2080083.8773,1506607.9406
000001.SZ,20030108,10.53,50.9233,5.0489,7.8883,2048950.7229,1484058.1491
000001.SZ,20030107,10.04,48.5536,4.814,7.5212,1953605.4376,1414999.4129
000001.SZ,20030106,10.06,48.6503,4.8236,7.5362,1957497.0819,1417818.1368
000001.SZ,20030103,10.02,48.4569,4.8044,7.5062,1949713.7933,1412180.6889
000001.SZ,20030102,10.03,48.5053,4.8092,7.5137,1951659.6154,1413590.0509
000001.SZ,20021231,10.49,50.7298,5.0297,7.8583,2041167.4343,1478420.7013
