ts_code,trade_date,close,pe,pb,ps,total_mv,circ_mv
600036.SH,20191028,36.2,11.3327,1.7897,3.6731,91295841.0756,74676778.833
600036.SH,20191025,36.4,11.3953,1.7996,3.6934,91800237.9876,75089357.7216
600036.SH,20191024,36.5,11.4266,1.8045,3.7035,92052436.4437,75295647.1659
600036.SH,20191023,36.0,11.27,1.7798,3.6528,90791444.1636,74264199.9444
600036.SH,20191022,36.13,11.3107,1.7863,3.666,91119302.1564,74532376.222
600036.SH,20191021,36.22,11.3389,1.7907,3.6751,91346280.7668,74718036.7218
600036.SH,20191018,36.18,11.3264,1.7887,3.671,91245401.3844,74635520.9441
600036.SH,20191017,37.0,11.5831,1.8293,3.7542,93313428.7237,76327094.3873
600036.SH,20191016,36.81,11.5236,1.8199,3.735,92834251.6573,75935144.4431
600036.SH,20191015,36.64,11.4704,1.8115,3.7177,92405514.2821,75584452.3879
600036.SH,20191014,36.83,11.5299,1.8209,3.737,92884691.3485,75976402.332
600036.SH,20191011,36.29,11.3608,1.7942,3.6822,91522819.686,74862439.3328
600036.SH,20191010,35.11,10.9914,1.7358,3.5625,88546877.9051,72428223.8902
600036.SH,20191009,35.18,11.0133,1.7393,3.5696,88723416.8243,72572626.5012
600036.SH,20191008,34.81,10.8975,1.721,3.532,87790282.5371,71809355.5573
600036.SH,20190930,34.75,10.8787,1.718,3.5259,87638963.4635,71685581.8908
600036.SH,20190927,35.2,11.0196,1.7403,3.5716,88773856.5155,72613884.3901
600036.SH,20190926,35.22,11.0259,1.7413,3.5736,88824296.2067,72655142.2789
600036.SH,20190925,34.35,10.7535,1.6983,3.4854,86630169.6394,70860424.1136
600036.SH,20190924,34.08,10.669,1.6849,3.458,85949233.8082,70303442.614
600036.SH,20190923,34.04,10.6564,1.6829,3.4539,85848354.4258,70220926.8363
600036.SH,20190920,34.51,10.8036,1.7062,3.5016,87033687.1691,71190487.2245
600036.SH,20190919,34.51,10.8036,1.7062,3.5016,87033687.1691,71190487.2245
600036.SH,20190918,34.8,10.8944,1.7205,3.531,87765062.6915,71788726.6129
600036.SH,20190917,34.79,10.8912,1.72,3.53,87739842.8459,71768097.6685
600036.SH,20190916,35.0,10.957,1.7304,3.5513,88269459.6035,72201305.5015
600036.SH,20190912,35.29,11.0478,1.7447,3.5807,89000835.1259,72799544.8899
600036.SH,20190911,35.05,10.9726,1.7329,3.5564,88395558.8315,72304450.2236
600036.SH,20190910,35.0,10.957,1.7304,3.5513,88269459.6035,72201305.5015
600036.SH,20190909,35.5,11.1135,1.7551,3.602,89530451.8836,73232752.723
600036.SH,20190906,35.89,11.2356,1.7744,3.6416,90514025.862,74037281.5557
600036.SH,20190905,35.52,11.1198,1.7561,3.6041,89580891.5748,73274010.6118
600036.SH,20190904,34.89,10.9225,1.7249,3.5401,87992041.3019,71974387.1128
600036.SH,20190903,34.15,10.6909,1.6884,3.4651,86125772.7274,70447845.225
600036.SH,20190902,34.34,10.7504,1.6978,3.4843,86604949.7938,70839795.1692
600036.SH,20190830,34.28,10.7316,1.6948,3.4782,86453630.7202,70716021.5026
